Manx,English,Notes,Date,Source
Cre’d chaddil oo riyr s’yn oie?,Where slept thee last night in the night?,,11/01/1902,Isle of Man Examiner
"Nagh chaddil mish riyr er baare yn dress, ","Didn’t I sleep last night on top of the brambles,",,11/01/1902,Isle of Man Examiner
Tra va’n gheay sheidey gymmyrkey lesh. ,"When the wind blew, carrying away",,11/01/1902,Isle of Man Examiner
"Ushag veg ruy ny moanee doo, ","Little red bird of the black heath, ",,11/01/1902,Isle of Man Examiner
Cre'd chaddil oo riyr s’yn oie ? ,Where slept thee last night in the night?,,11/01/1902,Isle of Man Examiner
"Nagh chaddil mish riyr er baare y thooane, ","Didn’t I sleep last night on top of the roof lath,",,11/01/1902,Isle of Man Examiner
Myr shimmey mac dooinney t’er chadley ayn roym,As many the son of man has slept in before me,,11/01/1902,Isle of Man Examiner
"Ushag veg ruy ny moanee doo, ","Little red bird of the black heath, ",,11/01/1902,Isle of Man Examiner
Cre’d chaddil oo riyr s’yn oie? ,Where slept thee last night in the night?,,11/01/1902,Isle of Man Examiner
"Nagh chaddil mish riyr er baare y crouw, ","Didn’t I sleep last on top of the bush,",,11/01/1902,Isle of Man Examiner
Lesh fliaghey tuittym er dagh cheu.,With rain failling on every side,,11/01/1902,Isle of Man Examiner
,"It will be seen that this rendering differs from the one given in the Manx Ballads and Music by A. W. Moore, p. 43. It is by far better and more rational, and should be substituted instead for accompaniment of the music.",,11/01/1902,Isle of Man Examiner
,[43] A SONG (fragment). ,,11/01/1902,Isle of Man Examiner
"Mooinjer yn jiass ta bunnys roit ass,","The men of the South are nearly driven out, ",,11/01/1902,Isle of Man Examiner
,,,,
Lesh gleck noi geay as tidey. ,With striving against wind and tide.,,11/01/1902,Isle of Man Examiner
,,,,
"Ta’n jough cheet stiagh, yn argid goll magh,","Ale comes in and money goes out,",,11/01/1902,Isle of Man Examiner
,,,,
As neddy Gawne yn eirey.,And Ned Gawne is the heir. ,,11/01/1902,Isle of Man Examiner
,*Ned Gawne was the great brewer.,,11/01/1902,Isle of Man Examiner
,"[44.] A wedding with none of the bride’s relatives was calleel a crow’s wedding, and we have the following rhyme :— ",,11/01/1902,Isle of Man Examiner
YN POOSEY BEG FANNAG ,THE CROW’S LITTLE WEDDING,,11/01/1902,Isle of Man Examiner
Poosey beg fannag ,The little wedding of the crow,,11/01/1902,Isle of Man Examiner
"Hie shiar yn bayr, ","Went over the road, ",,11/01/1902,Isle of Man Examiner
"Gyn mummig ny jyssig, ","Without mother and father,",,11/01/1902,Isle of Man Examiner
Ny shuyr ny braar. ,Or sister and brother.,,11/01/1902,Isle of Man Examiner
,[45] SAYING.,,11/01/1902,Isle of Man Examiner
"Dy neeagh ny fee ny fannagyn, ","If the raven would eat the crows, ",,11/01/1902,Isle of Man Examiner
"As ny fannagyn ny fee,","And the crows eat the raven, ",,11/01/1902,Isle of Man Examiner
"Cha beagh unnane er-mayrn, ",There would not be one alive ,,11/01/1902,Isle of Man Examiner
Dy ee convayrt erbee. ,To eat any carcas at all.,,11/01/1902,Isle of Man Examiner
,[46] THE CAT AND THE MOUSE.,,11/01/1902,Isle of Man Examiner
,Old women used to say this rhyme to the baby about the cat and the mouse :— ,,11/01/1902,Isle of Man Examiner
"Lugh va sneeu er queeyl yn mwyllin, ","A mouse was spinning on the mill wheel, ",,11/01/1902,Isle of Man Examiner
Haink yn kayt as yeeagh eh urree ; ,Up came the cat and looked upon her; ,,11/01/1902,Isle of Man Examiner
Cre’n red t’ou jannoo my ven ainshter ? ,What are you doing my landlady ? ,,11/01/1902,Isle of Man Examiner
Sneeu sheeidey as srol* da ben y ree. ,Spinning silk and gauze* for the wife of the king. ,,11/01/1902,Isle of Man Examiner
"Roish my jig bishaght ayn bainney yn baa, ","Before the milk of the cows increases, ",,11/01/1902,Isle of Man Examiner
Beem’s kiart dy liooar my jig yn laa. ,I'll be even with you before those days. ,,11/01/1902,Isle of Man Examiner
,* New to the Manx Dictionary.,,11/01/1902,Isle of Man Examiner
,[47] PROVERBS AND SAYINGS. ,,11/01/1902,Isle of Man Examiner
"Ta saynt shiaght saggyrtyn ayns dooinney dyn cloan, as ta saynt shiaght eirinee ayns dy chooilley haggyrt. ","There is the greed of seven parsons in a man without children, and the greed of seven farmers in every parson.",,11/01/1902,Isle of Man Examiner
,,,,
,"[48] I have heard a man, when fishing bollans at the rocks, saying :— ",,11/01/1902,Isle of Man Examiner
"Bollan beg ny feeaklyn croie, ","Little bollan with the sharp teeth, ",,11/01/1902,Isle of Man Examiner
"Car uss rach, as veryms rach dt’oi. ","Give me a rip, and I will rip against thee.",,11/01/1902,Isle of Man Examiner
,[49.] ,,11/01/1902,Isle of Man Examiner
"Er coonlagh ta arroo, ","On straw is corn, ",,11/01/1902,Isle of Man Examiner
Cha vel veg er renniaght; ,On fern is none ; ,,11/01/1902,Isle of Man Examiner
"Ayns jiuys ta therr, ","In fir is tar, ",,11/01/1902,Isle of Man Examiner
Cha vel veg ayns darragh ; ,In oak is none ; ,,11/01/1902,Isle of Man Examiner
"Ayns dorrys ta treiney, ","In door is nail, ",,11/01/1902,Isle of Man Examiner
Ayns kurn ta jough. ,In can is ale.,,11/01/1902,Isle of Man Examiner
,[50 ] Part of a nursery song:— ,,11/01/1902,Isle of Man Examiner
"Vuddee veg, vuddee veg, cur mysh dty vraagyn, ","Little damsel, little damsel, put on your shoes, ",,11/01/1902,Isle of Man Examiner
"Gow dy reih Balladool, ny Ballakeigyn.","Either Balladool, or Ballakeggan choose. ",,11/01/1902,Isle of Man Examiner
,[51] WEATHER RULES : [23],"[23] IoME, Sat, Jan 18, 1902; P: 7
",18/01/1902,Isle of Man Examiner
VA’N SHEN SLEIH GRA:,The old people were saying:,,18/01/1902,Isle of Man Examiner
"Yn geay voish yn niar as yn fliaghey voish yn neear, Cha vel fastee rish cleigh ny thammag. ","The wind from the east and the rain from the west, ",,18/01/1902,Isle of Man Examiner
,There is no shelter by a hedge or bush. ,,18/01/1902,Isle of Man Examiner
"Kiune dy bra, geay jiass s’niesaey da; Tra ta bwoaillee ey yn ghrian vow mayd sterrym as fliaghey. ","When it is very calm, south wind will come next; When there is a circle [lit; enclosure] round the sun, we will get rain and storm.",,18/01/1902,Isle of Man Examiner
,,,,
Tra ta yn geay shiedey ta yn muir radey. ,When the wind blows the sea stirs.,,18/01/1902,Isle of Man Examiner
"Tra ta shag getlagh harrish yn thalloo, ","When a cormorant flies over the land, ",,18/01/1902,Isle of Man Examiner
Dy row eh doora* fliaghey. ,It was a sign of rain. ,,18/01/1902,Isle of Man Examiner
,"*doora —, proof, evidence. [‘dearbhadh’ in Gaelic. This word is not noted in the Manx dictionary.]",,18/01/1902,Isle of Man Examiner
,[52] WEATHER,,18/01/1902,Isle of Man Examiner
,The weather the old Manx used to wish was—,,18/01/1902,Isle of Man Examiner
Geurey rioagh as arragh kayagh. ,A frosty winter and foggy spring.,,18/01/1902,Isle of Man Examiner
"Tra ta ny keyrrey ghoaill fastee, Cha bee e agh frass, agh tra t'ad gyndyr ayns y fliaghey, ","When the sheep shelter in rain, it will be only a shower, ",,18/01/1902,Isle of Man Examiner
Bee a cheau son traa liauyr. ,"But when they browse in the rain, it will rain a power.",,18/01/1902,Isle of Man Examiner
,It is just now (July) what the old fishermen used to call—when there was a calm at sea :— ,,18/01/1902,Isle of Man Examiner
Kiunid villish nagh dug rieau straiu[24] ayns craue dhooiney. ,(Sweet calm that never sprained a man’s bone.),"[24] straiu] likely either a typo for English ‘stain’, or for Manx [strieu].
",18/01/1902,Isle of Man Examiner
,[53] PROVERBS.,,18/01/1902,Isle of Man Examiner
Nagh ghow gys dty obbyr laa fegooish brishey dty hrostey. ,Don't go to your day-work without breaking your fast.,,18/01/1902,Isle of Man Examiner
"Doonaght sheeidey, shiaghtin kennipey ","A silken Sunday, a hempen week.",,18/01/1902,Isle of Man Examiner
"Myr s’moo ny cheayney, Myr s’moo ny mooin. ","The greater the crying, The greater the mooin [urine].",,18/01/1902,Isle of Man Examiner
"myr s'doo, s’graihagh ","the blacker, the lovlier",,18/01/1902,Isle of Man Examiner
,[54] PROVERBS AND SAYINGS.,,18/01/1902,Isle of Man Examiner
"My vac, my vac gys yow eh ben, ","My son is my son till he gets a wife, But my daughter is my daughter all the days of her life.",,18/01/1902,Isle of Man Examiner
"Agh my inneen, my inneen aeg ny shenn. ",,,18/01/1902,Isle of Man Examiner
"Ta dhooiney ny ghaa leaystey yn clean, ","Many a man is rocking the cradle, The child was not his own. ",,18/01/1902,Isle of Man Examiner
Nagh vel yn lhannoo bentyn da hene. ,,,18/01/1902,Isle of Man Examiner
Baase mie mraane as aigh vie keyrragh ,The death of wives and good luck for sheep ,,18/01/1902,Isle of Man Examiner
Ta er yannoo deiney ny ga berchagh. ,Has made many men rich. ,,18/01/1902,Isle of Man Examiner
"Ta’n dhooiney creeney smooniaghtyn ooilley ny ta gra, ","The wise man thinks all that he says, But the fool says all that he thinks.",,18/01/1902,Isle of Man Examiner
"Agh ta’n ommidan gra ooilley ny te smooinaghtyn, ",,,18/01/1902,Isle of Man Examiner
"Raad ta mraane ta plate, ","Where there are women there is talk, Where there are geese there is keck, Where there are tailors there are crabs [lice], Where there are carpenters, there are chips. ",,18/01/1902,Isle of Man Examiner
"Raad ta guoiee ta keck, ",,,18/01/1902,Isle of Man Examiner
"Raad ta thalhearyn ta thollagyn, ",,,18/01/1902,Isle of Man Examiner
As raad ta seyir ta spollagyn. ,,,18/01/1902,Isle of Man Examiner
,"This is given only fragmentarily in Moore's Folk Lore of the Isle of Man, see page 183. ",,18/01/1902,Isle of Man Examiner
Ta un red cur lesh red elley cordail rish [y] shen raa. ,One thing brings another as the old proverb says.,,18/01/1902,Isle of Man Examiner
Te ny share gholl dy lhie accrysaagh ny gholl dy lhie lesh bolg lane. ,It is better to go to bed hungry than to go to bed with a full belly.,,18/01/1902,Isle of Man Examiner
Ta carrey sy cooyrt ny share ny ping ’sy sporran. ,A friend in court is better than a penny in the purse.,,18/01/1902,Isle of Man Examiner
,[55. ] PROVERBS. ,,18/01/1902,Isle of Man Examiner
"Ta e[25] aigney hene ec dooinney, agh ta e[26] raad hene ec ben","Man has his own will, but woman has her own way.","[25] original text gives [y], rather than [e].
[26] original text gives [y], rather than [e].
",18/01/1902,Isle of Man Examiner
Yn doinney ta jeeaghyn dy mie lurg y[27] obbyr hene ta palchey ec eh [echey] dy yannoo. ,The man who minds his own business well has always enough to do.,"[27] original text gives [y], rather than [e].",18/01/1902,Isle of Man Examiner
Lhag laueys mergys yn annym. ,Idleness is the rust of the soul.,,18/01/1902,Isle of Man Examiner
Quoi erbee ta jeeaghyn son carrey fegooish foiljyn cha jean eh dy bragh geddyn shen ny te shirrey er y hon. Ta shin graihagh orrin hene lesh ooilley nyn voiljyn as lhissagh shin ve graihagh er nyn garjyn er yn aght cheddin. ,"Whoever looks for a friend without fault will never get what he seeks, we love ourselves with all our faults aud we ought to love our friends in like manner.",,18/01/1902,Isle of Man Examiner
Ta jeih thousanyn jeh ny voiljjyn smoo ta ayns nyn nabooyn jeh ny sloo dy vadyr dooin ny yn foill sloo ta ayn-in-hene.,Ten thousand of the greatest faults in our neighbours are of less consequence than the smallest of our own.,,18/01/1902,Isle of Man Examiner
"Doinney ta poost ta y hreisiiteil roit ass, ","A man that is married has lost all his hopes, ",,18/01/1902,Isle of Man Examiner
Te kiart gollrish muc lesh teidd er y chass. ,He is just like a pig with her leg in a rope.,,18/01/1902,Isle of Man Examiner
,,,,
"Sollan, sollan, sailley blass dy chooilley vee.","Salt, salt, bring taste to every meat; [was a proverb among the people, they liked plenty of salt in everything.] ",,18/01/1902,Isle of Man Examiner
,[58] THE NEW MOON.[28] It was thought unlucky to see the new moon through glass.,"[28] IoME, Sat, Jan 25, 1902; P: 7
",25/01/1902,Isle of Man Examiner
Ta mee er chlashtyn ad gra fakin yn eayst noa yn chied cheayrt :—,I have heard them say on seeing the new moon for the first time:— ,,25/01/1902,Isle of Man Examiner
"Dy bannee Yee yn eayst noa, ","God bless the new moon, ",,25/01/1902,Isle of Man Examiner
Dy bannee Yee mish troor cheayrtyn ,"God bless me three times, ",,25/01/1902,Isle of Man Examiner
Nagh doghan erbee cheet orroo ,That no disease would fall upon them ,,25/01/1902,Isle of Man Examiner
Choud as vagh [veagh] yn eayst shen ayn.,As long as the moon was in.,,25/01/1902,Isle of Man Examiner
,"That was a charm to keep them without an accident, and to keep from gathering hands and and fingers while the moon lasted.",,25/01/1902,Isle of Man Examiner
,[62] THE MANX COWEEE. [29],"[29] IoME, Sat, Feb 08, 1902; P: 6
",08/02/1902,Isle of Man Examiner
,"If you ask me the three things the old Manx worshipped above all things, from an epicurean point of view, I may whisper in your ear : ",,08/02/1902,Isle of Man Examiner
skeddan ,herring ,,08/02/1902,Isle of Man Examiner
prinjeig ,haggis,,08/02/1902,Isle of Man Examiner
cowree ,sowan* or flummery,,08/02/1902,Isle of Man Examiner
Mooinjer ny gione veggey,The small head people (the ‘little people’),,08/02/1902,Isle of Man Examiner
Yee marin!,God with us!,,08/02/1902,Isle of Man Examiner
,[66] Sundries[30],"[30] IoME, Sat, Mar 08, 1902; P: 6",08/03/1902,Isle of Man Examiner
Lhemeen y Sceddan  ,"The Herring Moth  [I have seen a very large moth sometimes come in the house late in the evening, when the weather was fine, and it was called the herring moth. When one was seen going about in the house they said there would be good herring fishing that night.]",,08/03/1902,Isle of Man Examiner
Yn thollog faiyr  ,tit-mouse [was reckoned to be a very bad thing for cattle],,08/03/1902,Isle of Man Examiner
,[75] JACULATORY PRAYERS.[31],"[31] IoME, Sat, Mar 22, 1902; P: 6",22/03/1902,Isle of Man Examiner
Shee yee dy row marym  ,"[The old people, when going out of the house at a late hour used t0 say] The peace of God be with me  : ",,22/03/1902,Isle of Man Examiner
Dy bee Jee eddyr ayms as dy-chooilley ghrogh red ,"[going along the road if they got ‘fearful’ and feeling as if they walked in the air not feeling the ground under their feet, without seeing or hearing anything, the old folk used to say] God between me and all evil things.",,22/03/1902,Isle of Man Examiner
,,,,
Dy banney Jee eh (ish) ,[When a baby sneezed it was the custom for the mother or some other woman present to say :] - God bless him (her) [and that is kept up still more or less by most of the country women in the Island.],,22/03/1902,Isle of Man Examiner
,,,,
,[78] GAMES.,,22/03/1902,Isle of Man Examiner
"butt thurran, tip thurran ","[We used to be playing, when I was a boy, in the farmer’s haggart, running among and around the corn stacks. One was putting his head against the stack, and the rest getting away among the other stacks, and then the one that was lying was coming out and trying to tip some one and make him lie in his stead, and if he chased one to a certain distance from his own stack, whoever would catch him, then he had to ride them back to his stand again. We used to spend moonlight evenings in the winter at that] game.",,22/03/1902,Isle of Man Examiner
,,,,
Stag yn ree.— [There was another] game,"[we called stag yn ree. There would be about twenty of us gathering on moonlight evenings in winter, in a field, and casting lots who would be the stag, and whoever was the one he had ground marked out, and if he came beyond his boundaries, who ever would get behind and get hold of him, he had to ride him back to his stand ; and if the stag could tip one of the rest first, they had both to be stags and hold each other’s hands, and everyone they could tip had to join hands with them until they were all tipped; but the one at each end had authority to tip another, and when there would be a lot of them holding one another's bands, those that were free used to make a race at the middle of the line and burst through, and when the line would be broken, all the free ones would be catching hold of one and getting a ride on his back to the stand. If any of them could get to the stand without being caught, they had to ride no one. They had to continue until all were in the line, and then the first that had been caught by the first stag had to be stag himself for the next game.]",,22/03/1902,Isle of Man Examiner
,[79] Scaayn GOANLYSAGH (MALICIOUS SPIRITS).[32],"[32] IoME, Sat, Mar 29, 1902; P: 6",29/03/1902,Isle of Man Examiner
Scaayn Goanlysagh,Spirits of living people haunting those they had any spite to. ,,29/03/1902,Isle of Man Examiner
,"IoME, Sat, Apr 05, 1902; P: 6",,29/03/1902,Isle of Man Examiner
,[80] AN OLD MANX PROVERB.,,29/03/1902,Isle of Man Examiner
"Tra ta’n gheay ’sy villey, ","When the wind is in the tree,",,29/03/1902,Isle of Man Examiner
"Yiow shiu magh yn Glass ghuilley [guilley glesh, guilley glass]. ",Soon the lockman [a sort of sherrif’s officer] here will be. ,,29/03/1902,Isle of Man Examiner
"fer croghee, crogheyder ",executioner,,29/03/1902,Isle of Man Examiner
,[81]  YN DREAN (THE WREN).,,29/03/1902,Isle of Man Examiner
"Keayrt dy row va ny ushagyn chaglym dy hoiljaghey da y chooilley cre obbraghyn va’d son yannoo. Va’d loayrt unnane ec cheayrt, ginsh quoid dy eean va’d troggal, as cre cha mie va’d laboragh. Tra haink yn drean beg dy nish cre foddagh ee jannoo, dooyrt ee — ","The birds all met together once upon a time to tell of all the great things they could do. They were speaking one at a time, saying how many young they were rearing, and how good they were labouring. When the little wren came to tell what he could do. he said:—",,29/03/1902,Isle of Man Examiner
"Myr s’beg mee hene, ","Though I am light, ",,29/03/1902,Isle of Man Examiner
"myr keyl my chass, ","and my leg is small,",,29/03/1902,Isle of Man Examiner
Un eean jeig verym lesh ass. ,Eleven chicks I bring out for all. ,,29/03/1902,Isle of Man Examiner
,[82] MANX SEA LORE.,,29/03/1902,Isle of Man Examiner
keayn ny traie ,sea or tide,,29/03/1902,Isle of Man Examiner
mollag fammyn ,tail buoy,,29/03/1902,Isle of Man Examiner
,"[84, 85, 86] WITCHCRAFT[33]","[33] IoME, Sat, Apr 12, 1902; P: 6, Sat, Apr 19, 1902; P: 6, Sat, Apr 26, 1902; P: ",26/04/1902,Isle of Man Examiner
fer obbee ,"sorcerer, wizard",,26/04/1902,Isle of Man Examiner
bouch crout ,??,,26/04/1902,Isle of Man Examiner
buitch ,witch,,26/04/1902,Isle of Man Examiner
cailleach [caillagh],an old woman possessed with a sprit of prophesying.,,26/04/1902,Isle of Man Examiner
crosag [croshag] ,amulet — the great Christian Talisman,,26/04/1902,Isle of Man Examiner
pishag ,charm[s],,26/04/1902,Isle of Man Examiner
doo-spyrryd ,black spirit,,26/04/1902,Isle of Man Examiner
drogh spyrryd ,evil spirit,,26/04/1902,Isle of Man Examiner
ny keimee as ny cughtee,the church stiles and the houghs,,26/04/1902,Isle of Man Examiner
three mraane aegey haink harrish yn ushtey,three young women who came over the water,,26/04/1902,Isle of Man Examiner
"drui, druai, ","a druid, wizard, charmer",,26/04/1902,Isle of Man Examiner
druiaghtagh,"enchanter, charmer, wizard",,26/04/1902,Isle of Man Examiner
Fer druiagh,a wizard,,26/04/1902,Isle of Man Examiner
"Druiaght,",charm.,,26/04/1902,Isle of Man Examiner
laue druiaght,Chiromancy,,26/04/1902,Isle of Man Examiner
marroo druiaght,necromancy,,26/04/1902,Isle of Man Examiner
fer druiaght ,necromancer,,26/04/1902,Isle of Man Examiner
"cloagey druiagh, ","invisible cloak, (rendering invisible at pleasure the person who wore it).",,26/04/1902,Isle of Man Examiner
cowrey druiagh,amulet ,,26/04/1902,Isle of Man Examiner
fer obbagh ,wizard,,26/04/1902,Isle of Man Examiner
Buitch ,witch,,26/04/1902,Isle of Man Examiner
buitchyn ,witches,,26/04/1902,Isle of Man Examiner
faaishneyder ,"wizard, juggler",,26/04/1902,Isle of Man Examiner
spyrrydyn faishnee,familiar spirits,,26/04/1902,Isle of Man Examiner
fir faishnee ,wizards,,26/04/1902,Isle of Man Examiner
faaishnys,charm,,26/04/1902,Isle of Man Examiner
"fer ysseree, fer fysseree ",sorcerer,,26/04/1902,Isle of Man Examiner
caillagh ny ghuesagh ,the hag or witch of spells,,26/04/1902,Isle of Man Examiner
"cailleach [caillagh]  vear,1 ",A [caillagh] that sends destructive tempests,,26/04/1902,Isle of Man Examiner
cailleach [caillagh] ny faitheag,"prophetess, witch",,26/04/1902,Isle of Man Examiner
Pisag,"spell, conjuration, amulet",,26/04/1902,Isle of Man Examiner
Guesag,"spell, charm",,26/04/1902,Isle of Man Examiner
Rhusagh ,amulet,,26/04/1902,Isle of Man Examiner
"Duilgarnee, Doalgaanhee ","a charm, a darkness cast upon the eyes by witchcraft or to see everything double",,26/04/1902,Isle of Man Examiner
,,,,
,A Charm against the Fairies.,,26/04/1902,Isle of Man Examiner
"Shee Yee as shee ghooinney, ","Peace of God and peace of man,",,26/04/1902,Isle of Man Examiner
"Shee Yee er Columb-Killey, "," Peace of God on Columb Killey, ",,26/04/1902,Isle of Man Examiner
"Er dagh uinnag, er dagh ghorrys, ",On each window and each door . ,,26/04/1902,Isle of Man Examiner
"Er dagh howl joaill stiagh yn Re-hollys, ",On every hole admitting moonlight. ,,26/04/1902,Isle of Man Examiner
Er kiare corneilyn y thie. ,"On the four corners of the house, ",,26/04/1902,Isle of Man Examiner
"Er y voayl ta mee my lhie, ","On the place of my rest, ",,26/04/1902,Isle of Man Examiner
As shee Yee orrym pene. ,And the peace of God on myself. ,,26/04/1902,Isle of Man Examiner
,"AMULETS, ETC. ",,26/04/1902,Isle of Man Examiner
Sheean,"a charm, fortune",,26/04/1902,Isle of Man Examiner
"Gwee, guee","pray, intreat, imprecate, curse",,26/04/1902,Isle of Man Examiner
,,,,
,"[89.] Ghaw Ving.—Between Fleshwick Bay and Bradda Head there is “Castle” Rock, called called Cashtal Backley, or Seckley, and at its outside is a cave, Ghaw Ving, so named on account of the echo that it produces. I have no doubt that it has been a place where the old Manx repeated charms. When an infant was sick, and thinking it would die, they used to go to the Ghaw Ving for it, and repeat :— ",,26/04/1902,Isle of Man Examiner
"Ghaw ving, Ghaw ving, ","Ghaw ving, Ghaw ving,",,26/04/1902,Isle of Man Examiner
Curjeead [Cur jeed] yn throo; ,Put off the envy; ,,26/04/1902,Isle of Man Examiner
"Va’n lhannoo ching jea, ","The child was sick yesterday, ",,26/04/1902,Isle of Man Examiner
As bee eh ny share jiu. ,And it will be better today ,,26/04/1902,Isle of Man Examiner
cughtagh ,"evil spirit, bugbear, hobgoblin",,26/04/1902,Isle of Man Examiner
,[92] CHARM TO PROTECT HORSE AND PLOUGH.[34],"[34] IoME, Sat, May 03, 1902; P: 6
",03/05/1902,Isle of Man Examiner
mooin ,"urine, piss, pee, chamberlye",,03/05/1902,Isle of Man Examiner
,[93] The Cabbyl Ushtey,,03/05/1902,Isle of Man Examiner
Cabbyl Ushtey,"Water Kelpie, Water Wraith,  Each Uisge ",,03/05/1902,Isle of Man Examiner
"cabbyl ny hoie, glashtin ",night horse (grey),,03/05/1902,Isle of Man Examiner
dub,pool,,03/05/1902,Isle of Man Examiner
"Nigison, Nikison","a haunted pool, a water nixie",,03/05/1902,Isle of Man Examiner
,[94] LHIANNAN SHEE,,03/05/1902,Isle of Man Examiner
lhiannan shee ,familiar spirit,,03/05/1902,Isle of Man Examiner
,[95] THE DOOINNEY OIE,,03/05/1902,Isle of Man Examiner
dooinney oie,"nightman [a kind of tutelar spirit, attached to certain families, and the fore-warner of coming ill-fortune or calamity]",,03/05/1902,Isle of Man Examiner
,[96] THE TARROO USHTEY,,03/05/1902,Isle of Man Examiner
tarroo ushtey,"[a harmless creature, which mixes and breeds with the farmer's cattle, known by its sparkling eyes and short ears. It prefers swampy places and streams.]",,03/05/1902,Isle of Man Examiner
,[97] THE BUGGANE[35],"[35] IoME, Sat, May 10, 1902; P: 6
",10/05/1902,Isle of Man Examiner
buggane,a creature of which the Manx peasantry stood always in great fear and trepidation. ,,10/05/1902,Isle of Man Examiner
Keeil Pharick y drummagh,,,10/05/1902,Isle of Man Examiner
Ringian,St. Trinian,,10/05/1902,Isle of Man Examiner
Ghaw ny Spyrryd,Cove of the Spirit(s),,10/05/1902,Isle of Man Examiner
Buggane y Chione dhoo,The Buggane of Black Head,,10/05/1902,Isle of Man Examiner
noid ny hanmey,‘the enemy of the soul’ (the devil),,10/05/1902,Isle of Man Examiner
Keeil Pharick,St Patrick’s Church,,10/05/1902,Isle of Man Examiner
Laair vane,"white mare mummery [was performed in the island, even within recent years. This was a horse's head, and so contrived that the person who had charge of it and concealed under a white sheet, was able to snap the mouth at the guests].",,10/05/1902,Isle of Man Examiner
,[98] GLASHAN — MANX BROWNIE[36],"[36] IoME, Sat, May 17, 1902; P: 6
",17/05/1902,Isle of Man Examiner
glashan,"[Of these we seem to have in the Island two distinct sets, the semi-domesticated and the roaming or wild Glashan. The former attaches himself to the farmer and his stead, and good-naturally assists him, for little, in his labour; while the other, more sullen and intractable, and a rather savage specimen, roams at large, haunting and preferring the lonely glens, caves, and moorland shelters. Both have this in common that they are big powerful men, very hairy and shaggy, and dark complexioned, who disdain (for they wear, of course, skins, and grow long hair) the offer of cap, coat, shirt, and breeches.]",,17/05/1902,Isle of Man Examiner
,[99] THE FINNODDEREE.[37],"[37] IoME, Sat, May 24, 1902; P: 6
",24/05/1902,Isle of Man Examiner
Finnodderee [Phynnodderee],"A powerful and strong giant, covered like a he-goat with shaggy hair, disdains clothing, distinct from the Glashan, or Manx Brownie.",,24/05/1902,Isle of Man Examiner
lus ny ollee,cattle herb,,24/05/1902,Isle of Man Examiner
,[116.] FAIRIES[38],"[38] IoME, Sat, Jul 12, 1902; P: 6
",12/07/1902,Isle of Man Examiner
ferishyn,Manx fairies.,,12/07/1902,Isle of Man Examiner
,[122] Fairy visitors,,12/07/1902,Isle of Man Examiner
Ta'n çhenn chellagh ny chadley er aght erbee.,The old cock is asleep anyway,,12/07/1902,Isle of Man Examiner
,[133] FAIRES PULLING A BOAT ASHORE,,12/07/1902,Isle of Man Examiner
ooilley cooidgagh,all together,,12/07/1902,Isle of Man Examiner
,[148] BLESSING THE DEAD. [39],"[39] IoME, Sat, Aug 02, 1902; P: 6",02/08/1902,Isle of Man Examiner
,"I have heard the old people, especially the women, say that it was right to bless the dead , whenever they were mentioned, and I have often heard them saying, when talking of the dead : ",,02/08/1902,Isle of Man Examiner
My vannagh [vannaght] lesh ny merroo [merriu] ,My blessing with the dead,,02/08/1902,Isle of Man Examiner
My vannagh [vannaght] lesh yn marroo. ,My blessing with the dead (if one person was spoken of),,02/08/1902,Isle of Man Examiner
Dy bannee Yee yn lhannoo ,[Also when a baby was born the old women would say:] ,,02/08/1902,Isle of Man Examiner
,May God bless the child.,,02/08/1902,Isle of Man Examiner
,[119] UNBAPTISED CHILDREN. [40],"[40] IoME, Sat, Aug 09, 1902; P: 6",09/08/1902,Isle of Man Examiner
,"It is said of children dying without being baptised that, their ghosts used to be lamenting in the churchyard in the dead of the night. I have heard them tell about some man that was passing the churchyard, and he heard a little voice saying-.— ",,09/08/1902,Isle of Man Examiner
"Lhannoo [Lhiannoo] dyn ennym mee,","I am a child without a name,",,09/08/1902,Isle of Man Examiner
lhannoo [lhiannoo] dyn ennym mee. ,I am a child without a name.,,09/08/1902,Isle of Man Examiner
,and the man said:—,,09/08/1902,Isle of Man Examiner
"My she guilley oo, ta mee bashtey oo Juan, as my she inneen oo ta mee bashtey oo Joney. ","If thou art a boy I christen thee John, and if thou art a girl I christen thee Joney. ",,09/08/1902,Isle of Man Examiner
Myr shen va yn scaan shen ec shee.,"Therefore that ghost, was at rest",,09/08/1902,Isle of Man Examiner
,"[153] THE ARKAN SONNEY, OR LUCKY LITTLE PIG.",,09/08/1902,Isle of Man Examiner
arkan sonney,lucky little pig,,09/08/1902,Isle of Man Examiner
,Thomas Bushell[41],"[41] IoME, Sat, Aug 23, 1902; P: 6",23/08/1902,Isle of Man Examiner
Thie Vushell ,Bushell’s House,,23/08/1902,Isle of Man Examiner
,[156] ENCHANTED ISLANDS.[42],"[42] IoME, Sat, Sep 06, 1902; P: 6
",06/09/1902,Isle of Man Examiner
Onny Vaddrill,Onnee Madderell [name of the last person to see the enchanted island on a May Day Sunday south west of the the Calf.],,06/09/1902,Isle of Man Examiner
,[157] GIANTS.,,06/09/1902,Isle of Man Examiner
Lheim y chenney (Fox leap),"the perpendicular cliff adjoining the Bowyn Poort [Purt] Chiarn, in Bay Fine",,06/09/1902,Isle of Man Examiner
Bowyn Poort [Purt] Chiarn,"The reefs of Port Erin, in Bay Fine",,06/09/1902,Isle of Man Examiner
