Manx,English,Notes,Date,Source
"Hug ee paart da e braar[5], as choud as v’eh g’ee eh, v’ee gra rish, “Nagh vel shen brott mie Bovee!","She gave some to her brother, and all the time he was supping it, she kept saying to him, “Isn't that good broth, Boree[6]?","[5] Hug ee paart da e braar] original text gives; [Hug eh paart da e vraar].
[6] Bovee] The English version gives the name as [Boree].
",05/10/1901,Isle of Man Examiner
Cha now brott mie myr shen voish Nancy (e ven) Var-a-mish!”,Thou’ll not get broth like that from Nancy (his wife) I’ll warrant.” ,,05/10/1901,Isle of Man Examiner
"    Dagh keayrt v’ee gra shoh, va Bovee freggyrt, “T’eh çheh, t’eh cheh,” as cha n’yiarragh eh dy row hh mie, as eiryn oyr shoh v’ee dy mooar seaghnit.","Every time she said this, Boree replied, “It's hot, it’s hot,” and she could not get him to say that it was good, a fact which annoyed her greatly.",,05/10/1901,Isle of Man Examiner
"     Cha leah as va’n brott eeit ec Bovee, b’eign da goll er y raad dy-valley reesht. ","As soon as he was done dinner, Boree had to start for home again. ",,05/10/1901,Isle of Man Examiner
"Tra v’eh ersooyl, hooar ee magh nagh row yn eill currit ‘sy vrott eck.","When he had gone, she discovered that she had forgotten to put the meat in the broth. ",,05/10/1901,Isle of Man Examiner
"“Ochannee,” dooyrt ee, “cha nhyrrys da Bovee gra, “T’eh çheh, t’eh çheh.”","“Aw well,” quoth she, “no wonder for Boree to say, “It’s hot, it’s hot.” ",,05/10/1901,Isle of Man Examiner
"Tra v’eh ersooyl, hooar ee magh nagh row yn eill currit ‘sy vrott eck.","When he had gone, she discovered that she had forgotten to put the meat in the broth. ",,05/10/1901,Isle of Man Examiner
"“Ochannee,” dooyrt ee, “cha nhyrrys da Bovee gra, “T’eh çheh, t’eh çheh.”","“Aw well,” quoth she, “no wonder for Boree to say, “It’s hot, it’s hot.” ",,05/10/1901,Isle of Man Examiner
,JUAN Y CRUIN.,,05/10/1901,Isle of Man Examiner
,[15] OLD Manx Feminine Christian Name[7],"[7] IoME, Sat, Oct 19, 1901; Page: 3
",19/10/1901,Isle of Man Examiner
"[15] Bahee, Bahee, Bahie, Bahy, Baggy, [Puy, Puiy, Poy, Phiy]"," Peg, Peggy, ",,19/10/1901,Isle of Man Examiner
"Morgaid, Margeid.","Margaret,",,19/10/1901,Isle of Man Examiner
[16] cowrey kerragh,[16] ear mark to identify sheep,,19/10/1901,Isle of Man Examiner
beim er y chleaysh,ear mark to identify sheep,,19/10/1901,Isle of Man Examiner
Scoltey ayns baare dagh cleaysh,a split [of half an inch] in the point of both ears,,19/10/1901,Isle of Man Examiner
un howl,one hole,,19/10/1901,Isle of Man Examiner
daa howl,two holes,,19/10/1901,Isle of Man Examiner
"Gow dy lhome as tar dy mollagh,","Go away bare, and come back rough, ",,19/10/1901,Isle of Man Examiner
Cur lesh dy eayn braue bwoirin. ,Bring a good she-lamb and a good fleece ; ,,19/10/1901,Isle of Man Examiner
As dy loamrey braue saillagh : ,,,19/10/1901,Isle of Man Examiner
"My aikys oo moddey croym dty chione, ",If you see a dog. stoop your head,,19/10/1901,Isle of Man Examiner
"As my aikys oo maarliagh, roie er-y-hon. ",And if you see a thief run for it.,,19/10/1901,Isle of Man Examiner
,[18] Laa Boaldyn (May Day)[8],"[8] IoME, Sat, Oct 26, 1901; P: 6
",26/10/1901,Isle of Man Examiner
Bwillogh,Marsh marigold caltha palustris,,26/10/1901,Isle of Man Examiner
,[19] THE WITCH OF GLEN Rushen. ,"IoME, Sat, Nov 02, 1901; P: 7",02/11/1901,Isle of Man Examiner
gobbag , dog-fish [The witch could command them to eat and destroy the fishermen’s nets],,02/11/1901,Isle of Man Examiner
,,,,
cullee [cooillee],bedchamber,,02/11/1901,Isle of Man Examiner
,[20] The Buggane at Fistard ,,02/11/1901,Isle of Man Examiner
buggane (fistard),black cat that upon being kicked grows into a big black bull with long horns.,,02/11/1901,Isle of Man Examiner
un howl,[21] Manx Christian Names ,,02/11/1901,Isle of Man Examiner
daa howl,,,02/11/1901,Isle of Man Examiner
Bahee ,In he North of the Isle of Man the same word was equivalent to the English name] Phoebe.,,02/11/1901,Isle of Man Examiner
"Peggy, Puy","Margaret, Maggie",,02/11/1901,Isle of Man Examiner
,"[23] The Foxglove, Digitalis purpurea[9]","[9] IoME, Sat, Nov 09, 1901; P: 8
",09/11/1901,Isle of Man Examiner
