Speaker,Manx,English,SubStart,SubEnd,Notes,ManxColumnLanguage
WR,"Oh, va fer elley ayn, eddyr ad?","Oh, there was a another fellow was there, between them?",952,955,,
JTK,"Va, Hugh, Hughes-Games then, and there was Gill then.","Yes. Hugh, Hughes-Games then, and there was Gill then.",953.5,957.5,,mixed
WR,Oh?,Oh?,957,959,,
JTK,Then Kewley was the fellow before this fellow man.,Then Kewley was the fellow before this fellow man.,958,962.3,,en
WR,Hmm.,Hmm.,962,963,,
JTK,"Kewley was the last, there was, there was two, va, va jees, archdeacons in after Moore ...","Kewley was the last, there was, there was two, there were, were two, archdeacons in after Moore ...",962.4,972,,
WR,"Hmm, hmm.","Hmm, hmm.",972,973,,
JTK,"... and then, then Kewley come.","... and then, then Kewley come.",973,976.2,,en
WR,Ah.,Ah.,976,977,,
JTK,"And then, as ta, there was this fellow, now, c'red ta'n fer?","And then, and there is, there was this fellow, now, what's the fellow?",976.1,981,,
WR,Oh cha s'aym edyr.,Oh I don't know at all.,981,983,,
JTK,V'eh oh ...,He was oh ...,982.5,984,,
WR,T'eshyn voish Bretin y fer t'ayn nish.,He's from Wales the fellow who's in now.,984,986.5,,
JTK,Mmm?,Mmm?,986.41,988,,
WR,Y fer t'ayn nish t'eh voish Bretin.,The fellow who's in now he's from Wales.,988,991,,
DF,Ta.,Yes.,990,991,,
WR,Voish y Thalloo Bretnagh.,From Wales.,991,993,,
JTK,Nee? Nee?,Is he?,992.4,994,,
WR,"Hmm, hmm.","Hmm, hmm.",994,995,,
WC,"Va ram Gailck ec yn, ec yn dooinney Kewley, nagh row?","The man, Kewley had a lot of Manx, didn't he?",994.5,999,,
JTK,C'red?,What?,998.2,999.2,,
WC,Va r...,There was lo-...,999,1000,,
WR,"Va Gailck dy liooar ec Kewley, nagh row?","Kewley had plenty of Manx, didn't he?",999,1002,,
JTK,"Oh va, va, va, va, va, va, but va Gailck dy liooar echey, but ah, v'eh son taggloo Gailck, but cha row eh monney, son v'eh, v'eh mie son dy loayrt son gynsagh dy ...","Oh yes, yes, yes, yes, yes, yes, but he had plenty of Manx, but ah, he was able to talk Manx, but he wasn't much, able he was, he was good to speak to teach to ...",1001.3,1016,,
WR,Gynsagh? She.,Teach? Yes.,1016,1017,,
JTK,"Err, dy read Gailck.","Err, to read Manx.",1017,1019,,
WC,Lhaih eh.,Read it.,1017.9,1019.6,,
WR,As dy lhaih eh.,And to read it.,1019,1021,,
JTK,"Va, v'eh mie son dy err, he was good to read Manx but he wasn't good to talk it at all.","Yeah, he was good at err, he was good to read Manx but he wasn't good to talk it at all.",1020.2,1027,,
WR,Oh cha row eh loayrt monney.,Oh he wasn't speaking much.,1027,1029,,
JTK,"Cha row eh mie dy loayrt edyr, son v'eh abyl dy loayrt keayrt ny jees oh cha cha row eh cha mie dy loayrt Gailck edyr, son v'eh mie son, ...","He wasn't good at speaking at all, because he was able to speak a time or two, oh he wasn't good at speaking Manx at all, because he was good, ...",1028.5,1037.6,,
WC,Son lhaih eh.,At reading it.,1037,1039,,
JTK,... preacheil eh.,... preaching it.,1038,1040,,
WC,Oh?,Oh?,1039.4,1041.3,,
WR,"She, she.","Yes, yes.",1039.4,1041.3,,
JTK,She.,Yes.,1040.4,1041.4,,
WR,She. Ta mee er chlashtyn eh preacheil ayns yn Gailck.,Yes. I have heard him preach in Manx.,1041,1045,,
JTK,Vel? Vel?,Have you? Have you?,1044.1,1046,,
WR,"Er y, er y jiass.",In the south.,1045.6,1047,,
? ,[coughs],[coughs],1047,1048,,
WR,Y jiass jeh'n Ellan.,The south of the Island.,1047,1049,,
JTK,"As v'eh, v'eh goll, v'eh gra, er y, er y ...","And he was, he was going, he was saying, on the ...",1047.8,1052,,
? ,[coughs],[coughs],1052,1053,,
JTK,... ayns y tourey ...,... in the summer ...,1052.6,1055,,
WR,"Ec, ec y margey?","At the, at the fair?",1055,1057,,
JTK,"Va. Ec yn margey. She. He, he, yeah, yeah. Va fer, shen y fer va err, err, gynsagh la- laueyn [leg. leighyn] [?]","Yes. At the fair. Yes. He, he, yeah, yeah. There was a fellow, that's the fellow who was err, err learning hands [sic = reading laws] [?].",1057,1067,,
JTK,It was him that was reading the laws.,It was him that was reading the laws.,1067,1070,,en
DF,Va. ,Yes.,1069.3,1070.4,,
WR,V'eshyn lhaih ny slattyssyn.,He was reading the laws.,1069.4,1071.4,,
JTK,Va.,Yes.,1071.4,1072.2,,
DF,Hmm. [coughs],Hmm. [coughs],1072,1073.2,,
WR,Ren oo rieau clashtyn eh?,Did you ever hear him?,1073,1074.5,,
JTK,"Cha ren, cha ren, cha ren.","No, no, no.",1074.5,1076.5,,
WR,Hmm.,Hmm.,1076,1077,,
JTK,"Oh cha row mee ayn, un keayrt va mee ec yn margey shen.","Oh I wasn't ever there, once I was at that fair.",1076.5,1081,,
WR,Shen ooilley?,That's all?,1081,1081.7,,
JTK,"Ooilley, ooilley! As va mee aeg traa shen neesht.","All, all! And I was young that time too.",1081.4,1085.5,,
DF,Hmm.,Hmm.,1084,1085.5,,
WC,Row?,Were you?,1085,1086,,
DF,Hmm.,Hmm.,1085,1086,,
JTK,Va.,Yes.,1086,1087,,
WC,Mmm.,Mmm.,1085,1087,,
WR,Hmm.,Hmm.,1086.6,1088.5,,
JTK,"Oh va sleih dy liooar ayn, oh dy lioo-, cha s'aym's y sleih v'ayn yn traa shen.","Oh there were plenty of people there, oh ple-, I don't know the people that were there that time.",1087,1093,,
WR,"Hmm, hmm.","Hmm, hmm.",1092.3,1094,,
DF,"Vel cooinaght ayd tra v'ad jannoo ymmyd jeh'n Ghailck ayns, ayns ny keeillyn? Ayns yn Ellan?","Do you remember when they were using Manx in, in the churches? In the Island?",1094,1101,,
JTK,"Oh dy, dy bee cooinaghtyn dy liooar aym er preacheil ayns y, ayns y, oh cha nel cooinaghtyn aym ayns y keeill edyr.","Oh, I remember well enough preaching in the, in the, oh I don't remember in the church at all.",1100,1108,,
WR,Oh.,Oh.,1107.2,1108,,
DF,Ny Wesleyanee?,The Wesleyans?,1108,1110,,
JTK,Oh ta cooinaghtyn aym er y thie [?]prayer shen.,Oh I remember that [?]prayer house.,1109,1114,,
DF,Oh vel?,Oh do you?,1112.6,1113.6,,
JTK,"Va, cooinaghtyn dy liooar son va, va ram jeu ayn cha row ad preachail veg elley as Gailck.","Oh yes, I remember well because there were, there were lots of them they weren't preaching anything else but Manx.",1113,1119.6,,
DF,Nagh row?,Weren't they?,1119.5,1121,,
WC,Dy jarroo!,Indeed!,1119.5,1121,,
JTK,"Cha row. V'ad son preacheil Baarlagh but cha row ad cha, son jannoo eh chammah as Gailck. Shen eh.","No. They could preach English but they weren't, they couldn't do it as well as Manx. That's it.",1120.4,1129.5,,
DF,Shen eh.,That's it.,1129,1131,,
JTK,Ta.,Yes.,1129.4,1131.1,,
DF,Ta.,Yes.,1131,1132,,
WC,Ta.,Yes.,1131,1132,,
JTK,Oh ta cooinaghtyn aym er shen.,Oh I remember that.,1131.4,1134,,
WC,Oh va ram Gailck ayns ny laghyn shen.,Oh there was lots of Manx in those days.,1133.8,1137.5,,
JTK,"Oh va ram Gailck, ram Gailck, ram Gailck.","Oh there was lots of Manx, lots of Manx, lots of Manx.",1137,1142,,
WC,"Ta, ta.","Yes, yes.",1140,1143,,
JTK,"E- eisht va'n jishig, jishig mooar aym as, as, as, as ren eh, v'eh, v'eh, err, Gail- gyn- gynsagh G- Gailck tra v'eh goll dy schoill.","Then my, my grandfather and, and, and, and he did, he was, he was err, Ma- lear- learning Manx when he was going to school.",1142,1156,,
WC,Ren?,Did he?,1156,1157,,
JTK,Ren. Eisht ren eh geddyn yn Baarlagh.,Yes. Then he got the English.,1157.5,1161,,
WC,She?,Yes?,1160,1161.3,,
WR,She.,Yes.,1160,1161.3,,
JTK,"A- as, traa, shaghey, lurg shen.","And a time, past, after that.",1160.3,1165,,
WC,She. Oh va Gailck ooilley v'oc ayns ny laghyn shen.,Yes. Oh it was all Manx that they spoke in those days.,1165,1168.5,,
JTK,"Yeah, ooilley Gailck ooilley Gailck, ooilley Gailck, ooilley Gailck.","Yeah, all Manx, all Manx, all Manx, all Manx.",1167.7,1172.6,,
WC,"Ooilley Gailck, aye.","All Manx, aye.",1170,1173,,
DF,"As v'ad, v'ad geddyn poost ayns Gailck neesht, nagh row ad?","And they'd, they'd get married in Manx too, wouldn't they?",1172,1176,,
JTK,C'red?,What?,1175.6,1176.3,,
DF,V'ad geddyn poost a- ayns Gailck ayns ny shenn ...,"They'd get married i- in Manx in the old ,,,",1176,1180,,
JTK,Oh v'ad geddyn poost ayns Gailck.,Oh they'd get married in Manx.,1177.7,1181,,
DF,Ta.,Yes.,1179.9,1181,,
JTK,"[giggles] Oh va, va.","[giggles] Oh yes, yes.",1180.2,1182,,
WC,Va.,Yes.,1182,1183,,
JTK,"Oh va, [giggles]","Oh yes, [giggles]",1182.5,1184,,
WC,Va.,Yes.,1184,1185,,
JTK,Va.,Yes.,1185,1186,,
DF,"As, shen ta mish laccal neesht.","As, that's what I want too.",1185,1187.2,,
JTK,C'red?,What?,1187,1188.3,,
DF,Ta shen ta mish laccal neesht.,That's what I want too.,1187.5,1191,,
JTK,Vel shiuish goll dy geddyn g- poost ayns Gailck?,Are you going to get married in Manx?,1190,1193,,
DF,"Ayns, ayns Gailck, she.","In, in Manx, yes.",1192.5,1194,,
JTK,"[laughs] Ahh. Cha nel mee goll dy, cha nel dy bee abyl dy, fer erbee dy jannoo eh. [laughs]","[laughs] Ahh. I am not going to be able to, not be able to to, any one to do it. [laughs]",1193.5,1201,,
WR,Oh ta saggyrt ny ghaa ayn.,Oh there's a minister or two.,1201,1203,saggyrt ny ghaa = many a minister,
JTK,Eh? Eh?,Eh? Eh?,1203,1204.4,,
WR,"Ta saggyrt ny ghaa ayn, as Gailck oc.","There's a minister or two, who has Manx.",1203.5,1206,saggyrt ny ghaa = many a minister,
JTK,"Oh ta saggyrt ayn, oh ta saggyrt ayn ta son jannoo eh.","Oh there's a minister, oh there's a minister who is able to do it.",1204.6,1209.6,,
DF,Ta.,Yes.,1209,1210,,
JTK,Oh? [laughs],Oh? [laughs],1210,1211.5,,
DF,Bee ad abyl jannoo eh mie dy liooar.,They will be able to do it ok.,1211,1213,,
JTK,"Well va fer as va mee ginsh dhyt roie, va fer ayns shoh, as v'ad err, v'eh, ren ad goll dys y boayl, oh, stiagh, across the water to a big, ren eh goll dys, err, ass Mannin goll dys y, dys y big, dys y shibbyr.","Well, there was a fellow and I was telling you before, there was a fellow here, and they were err, he was, they went to the place, oh, in, across the water to a big, he went to, err, out of Mann going to the, to the big, to the supper.",1213,1237,,
WC,Nee?,Did he?,1235.7,1238,,
JTK,"As va fer ayns dy chooilley boayl - Mannin, Sostyn, as Niurin [sic] as dy chooilley voayl, va fer brieit dy goll from dy chooilley boayl, as ren yn, yn, yn fer v'ayn, v'eh laccal ad dy gra yn, yn The Lord's Prayer ...","And there was a fellow in every place - Mann, England and hell [leg. Ireland] and everywhere, a fellow was asked to go from everywhere, and the, the, the fellow who was there, he was wanting them to say the Lord's Prayer ...",1237,1259,"Niurin = Hell, Nerin = Ireland",
WC,Padjer yn Chiarn.,The Lord's Prayer.,1257,1260,,
JTK,"Yn, Padjer yn Chiarn, ayns yn ...","The, Lord's Prayer, in the ...",1259,1262,,
WC,Gailck.,Manx.,1260,1263,,
DF,Ass y Gailck.,In Manx.,1260,1263,,
JTK,Ayns y Gailck.,In Manx.,1262,1263.4,,
WC,Ta.,Yes.,1263.4,1264.4,,
JTK,"As v'ad ooilley abyl dy gra eh dys er yn un boayl, ooil- only yn fer Manninagh, cha row eh shen son gra eh.","And they were all able to say it to at the same place, all, only the Manx fellow, he couldn't say it.",1263.7,1272.7,,
WC,Nagh row?,Couldn't he?,1272,1273,,
JTK,Cha row.,No.,1273,1274,,
WC,Oh.,Oh.,1274,1275,,
JTK,"Va va Man- cha row Man- cha row, cha row Gailck erbee echey.","Manx was, wasn't, he didn't have any Manx.",1274,1279,,
WC,Oh ho.,Oh ho.,1278.5,1280,,
WR,Va shen nearey agglagh.,That was awful shame.,1279,1281,,
JTK,"Va, oh va.","Yes, oh yes.",1280.5,1282.2,,
WC,Va.,Yes.,1281.7,1283,,
JTK,"But ren eh gynsagh Gailck tra ren eh goll thie, dy licklee.","But he learnt Manx when he went home, probably.",1282,1286,,
WR,Ren?,Did he?,1285,1287,,
DF,Ren?,Did he?,1285,1287,,
WC,Va.,Yes.,1285,1287,,
JTK,Oh ren!,Oh yes!,1286,1287,,
DF,V'eh goaill nearey jeh hene.,He was ashamed of himself.,1286.4,1289,,
JTK,Aye. [giggles],Aye. [giggles],1288,1291,,
WC,"As va ooilley ny, ny magheryn mygeayrt y boayl shoh, v'ad ooilley err, genmyssit ayns Gailck nagh row ad?","And all the, the fields around this place, they were all err, named in Manx weren't they?",1290,1298,,
JTK,"Ta, ta, ny, ny, enmyn oc ooilley ayns Gailck.","Yes, yes, their, their names all in Manx.",1297.7,1302,,
WC,Ta.,Yes.,1300,1302,,
WR,Va. Ah.,Yes. Ah.,1301,1303,,
DF,"Vel cooinaght ayd er, er dy chooilley nane jeu?","Do you remember, every one of them?",1302.8,1307,,
JTK,Oh ta ram jeu ooilley ayns [?]cur yn Gailck.,"Oh there are lots of them all in, put in Manx.",1305.5,1309.5,,
DF,Ta.,Yes.,1308,1309.5,,
JTK,"Magher lurg y thie as magher dy, cheu jiass jeh'n thie, magher y mullagh, magher jiass, as ...","The field after the house, and the field on the south side of the house, top field, south field, as ...",1309,1318,,
WR,Hmm.,Hmm.,1319,1320,,
JTK,"... magher mean, ooilley myr shen. Shen yn err yn enmyn v'oc ooilley.","... middle field, all like that. That's the err the names they all had.",1319,1326,,
WR,Va.,Yes.,1325,1326,,
WC,Va.,Yes.,1325,1326,,
WR,As row faaie ayn?,And was there a flat?,1325.5,1327.5,,
JTK,"Oh faaie? Err err va, faaie, magher faaie, as magher whane as err ooilley myr shen. [sniffs]","Oh a flat? Err, err, there was a flat, the flat field, and valley field and err all like that [sniffs]",1327,1338,"whane < quane (coan), or Quane pers. name.",
WR,"As, as cre mysh, y feallee er, er y, er yn ayrey?","And, and what about the people on, on the, on the ayres?",1338,1345,,
JTK,C'red?,What?,1345,1347,,
WR,Mooie ec Kione ny Hayrey.,Out at the Point of Ayre.,1346,1348,,
JTK,"Oh mo- oh Kione ny Hayrey, va ma- magher yn Ayrey, magher cheu, magher mooie yn Ayrey, magher sthie yn Ayrey [laughs] erroo (sic) orroo, orroo, err, orroo ooilley.","Oh ou-, oh Point of Ayre, there was the field of the Ayre, side field, outer field of the Ayre, inner field of the Ayre [laughs] on them, on, on them all.",1347,1362,,
WR,Mmm.,Mmm.,1360,1361,,
JTK,[coughs] hmm.,[coughs] hmm.,1362,1365,,
WR,"As ta lheeannee ayns ny Curraghyn, [?].",And there's meadow in the Curraghs. [?],1366,1369,Curragh = marsh,
JTK,"Y lheeannee? Yn lheeannee, ta'n lheeanneeyn ooilley ayns Skylley Creest bunnys.","The meadow? The meadow, the meadows are all in Kirk Christ (Lezayre) nearly.",1367.7,1374,,
WR,Ooilley ayns Skylley Chreest.,All in Kirk Christ.,1373.4,1375.3,,
JTK,Lheeanneeyn ec Balley Laghey shen y boayl ta'n lheeanneeyn ooilley ayn.,Meadows at Ballaugh that's where all the meadows are.,1374.6,1380,,
WR,Mmm.,Mmm.,1378.5,1380.2,,
WC,Ta?,Yes?,1378.5,1380.2,,
JTK,"As err, ta moain ayns Balley, Balley Laghey, but cha nel, cha nel moain erbee ayns Skylley Breejey ny Skylley Andreays.","And err, there is peat in Ball-, Ballaugh, but there isn't. there isn't peat in Kirk Bride or Kirk Andreas.",1379,1388.6,,
WR,Hmm.,Hmm.,1387.8,1388.8,,
WR,R'ou giarrey yn moain ayns err Balley Laghey?,Were you cutting peat in err Ballaugh?,,,,
JTK,"Oh va, va, oh va, skeayley eh neesht.","Oh yes, yes, oh yes, spreading it too.",1391,1395.5,,
WR,Ah.,Ah.,1394.5,1396,,
JTK,"Va fer ayn, as v'eh, v'eh, tie, v'eh tying, err v'eh, kiangley eh as v'eh jannoo yn, yn, yn foaidyn as, as cha row, err, err, cha row eh agh v'eh, cha row eh noadyr, cha row eh dooinney ny cha row eh ben.","There was a fellow, and he was, he was, tying, he was tying, err, he was tying it and he was making the, the, the sods and, and he wasn't, err, err, he was only, he was, he wasn't either, he wasn't a man or he wasn't a woman.",1395,1418,,
WC,Oh?,Oh?,1417.6,1419.1,,
WR,Nagh row?,Wasn't he?,1417.6,1419.1,,
JTK,"Cha row! V'eh, v'eh, v'eh bun-ry-, err [laughs] ayns y mean yn jees!","No! He was, he was, he was upsidedo-, err [laughs] in the middle of the two! ",1418.5,1428.7,,
WC,Row?,Was he?,1428,1429,,
JTK,"Mean yn jees! As va perrickyn echey as va cooat echey, as va, va va paart er dy, err paart dy ...","The middle of the two! And he had petticoats and a coat, and he ahd some err, a bit of ...",1429,1440,,
WC,Faasaag?,A beard?,1439,1440,,
JTK,"... faasaag er, as va, cha s'aym edyr, as, as, as, cha row eh, cha row eh, cha row eh dooinney ny ben.","... a beard on him, and there was, I don't know at all, and, and, and, he wasn't, he wasn't, he wasn't a man or a woman.",1439.5,1450,,
WC,Dy jarroo!,Indeed!,1449.3,1451,,
WR,Jee bannee mee.,God bless me.,1449.3,1451,,
JTK,No.,No.,1450.5,1451.6,,
WR,Row eh mie son gobbyr?,Was he good at working?,1451,1453,,
JTK,"Oh va, v'eh mie son dy, cur, dy jannoo yn foaidyn.","Oh yes, he was good to, put, to make the sods.",1453,1458,,
WR,Row?,Was he?,1457,1458,,
JTK,"As va, va, va fer v'ad gra Cain ny Perrickyn rish.","And there was, there was a fellow they were calling Cain the Petticoats.",1457,1464,,
WR,Caine ny Perrickyn.,Caine the Petticoats.,1463,1465,,
JTK,Aye Caine the Petticoats.,Aye Caine the Petticoats.,1464.6,1468,,
WR,Mmm.,Mmm.,1467,1469,,
WC,Mmm.,Mmm.,1467,1469,,
JTK,"Caine the Petticoats, and he was a, he was neither a man nor a woman.","Caine the Petticoats, and he was a, he was neither a man nor a woman.",1468,1473,,en
WC,Dy jarroo.,Indeed.,1472.4,1474,,
JTK,He was between the two.,He was between the two.,1473.5,1475,,en
WC,Eddyr y jees jeu.,Between the two of them.,1475,1476,,
JTK,What?,What?,1476.8,1477.5,,
WC,Eddyr y jees jeu.,Between the two of them.,1477.3,1479,,
JTK,She.,Yes.,1478.6,1479.6,,
WR,"As r'ou ga-, r'ou giarrey yn traagh ayns, ayns y lheeannee?","And were you c-, were you cutting the hay in, in the meadow?",1479,1484,,
JTK,"Oh va, va, va, oh va, va ram jeh'n lheeanneeyn va mee giarrey lesh yiarn foldyrick [sic]","Oh yes, yes, yes, oh yes, there were lots of the meadows I was cutting with a scythe. ",1483.6,1491,,
WC,Hmm.,Hmm.,1491,1493,,
DF,Hmm.,Hmm.,1491,1493,,
WR,"Hmm, as ...","Hmm, and ...",1491,1493,,
JTK,"Oh cha row dooinney ny, ny, ayn, ayn, cha naik mee rieau fer erbee goll-rish oh veg as eh hene.","Oh there wasn't a man or, or, in, in, I never saw anyone like oh nothing like himself.",1493,1500.6,,
WC,Dy jarroo.,Indeed.,1500,1501,,
JTK,"As cha row mish laccal dy..., cha row nane ayns Mannin.","And I wasn't wanting to..., there wasn't one in Mann.",1500.9,1507,,
WC,Hmm.,Hmm.,1506.5,1507.6,,
WR,Hmm.,Hmm.,1506.5,1507.6,,
JTK,V'ad gra Caine ny Pherrickyn rish.,They'd call him Caine the Petticoats.,1507.5,1510.5,,
WC,"She. Ren shiu rieau, ren shiu rieau giarrey moain ayns ny Curraghyn?","Yes. Did you ever, did you ever cut peat in the Curraghs?",1510,1515.5,,
JTK,Eh?,Eh?,1515.3,1516.2,,
WC,Ren shiu ...,Did you ...?,1516,1517,,
WR,Row oo giarrey moain oo hene ayns ny Curraghyn?,Were you cutting peat yourself in the Curraghs?,1516,1519,,
JTK,"Oh, oh, va, giar- va, no, v'eh, v'eh giarrey moain as cur lesh feallee marin son dy skeayley yn moain, moain, moain.","Oh, oh, yes, cut-, yes, no, he was, he was cutting peat and bringing people with us to spread the peat, peat, peat.",1518.5,1532,,
WC,Hmm?,Hmm?,1532,1533,,
JTK,"Va, v'eh taggloo rish [?]ayr as geddyn mraane as deiney son dy skeayley yn moain do you see?","Yes, he was talking to [?]his father and getting women and men to spread the peat it do you see?",1531.6,1540.7,,
WC,Uh hmm.,Uh hmm.,1540,1541,,
JTK,"T'ou, err v'ee ...","You are, err, she was ...",1541,1542,,
WR,Dy geddyn eh chirrym.,To get it dry.,1541,1544,,
JTK,"Yeah, she, dy geddyn eh chirrym, cur eh ayns, ayns umm ...","Yeah, yes to get it dry, putting it in, in umm ...",1542.6,1548,,
WR,Sthookyn?,Sthooks?,1547.5,1549,,
JTK,"Ayns rillyn, rillyn.","In windrows, windrows.",1548.5,1550.8,,
WR,Rillyn?,Windrows?,1550.6,1551.4,,
JTK,"She. Cur ad in, in, in, in, in a row like, in a row.","Yes. Put them in, in, in, in, in a row like, in a row.",1551,1557.1,,mixed
WR,"She, she.","Yes, yes.",1557,1558.6,,
JTK,"Hmm. [coughs] Oh yeah, va.","Hmm. [coughs] Oh yeah, yes.",1558,1562.4,,
WR,As eisht t'ou cur lesh yn moain thie.,And then you bring the peat home.,1562,1564.5,,
JTK,"Cur lesh umm, but umm, cur er y row-, y rowlyn, as eisht cur ad ayns creaghyn as eisht tra v'eh chirrym dy liooar cur lesh eh thie eisht.","Bring umm, but umm, put on the ro- the rolls, and then put them in stacks and then when it was dry enough bring it home then.",1564,1574.3,,
WR,Mmm.,Mmm.,1573.3,1574.2,,
JTK,[sniffs],[sniffs],1574,1574.8,,
WC,Mmm.,Mmm.,1574.6,1576,,
WR,As quoid laadyn v'ou geddyn thie son yn geurey?,And how many loads were you getting home for the winter?,1576,1581,,
JTK,C'red?,What?,1581,1582,,
WR,Quoid laadyn v'ou geddyn thie son yn geurey?,How many loads were you getting home for the winter?,1582,1587,,
JTK,"Un laad dys yn, un, un, un laad dys y, ayns y, laa, ayns y laa.","One load to the, one, one, one load to the, in the, day, in the day.",1586.3,1593,,
WR,Un laad dys yn laa.,One load to the day.,1592.5,1594,,
JTK,Ta.,Yes.,1594,1595.5,,
WR,[coughs] As ...,[coughs] And ...,1595,1597,,
JTK,"Oh v'eh, v'eh, t'eh goaill three ooryn dy goll as three dy cheet.","Oh he was, he was, he takes three hours to go and three to come.",1595.5,1602,,
WR,Three dy cheet er-ash.,Three to come back.,1601.9,1604,,
JTK,"Hmm, she, son dy goll dys Balley Laghey.","Hmm, to go to Ballaugh.",1604,1608,,
WC,Hmm.,Hmm.,1607,1609,,
WR,Hmm.,Hmm.,1607,1609,,
JTK,Oh!,Oh!,1610,1613,,
WR,Bee oo shiaghtinyn geddyn ooilley yn moain thie.,You'll be weeks getting all the peat home.,1613,1616,,
JTK,"Why, kiare, err kiare, mmm, kiare as feed dy laadyn ayn.","Why, four, err, four, mmm, twenty four loads.",1615.5,1623,,
WR,Kiare as feed laadyn?,Twenty four loads?,1622.4,1625,,
JTK,Va.,Yes.,1623.7,1625,,
WC,Kiare as feed?,Twenty four?,1625,1626,,
JTK,Mmm.,Mmm.,1626,1628,,
WC,Hmm.,Hmm.,1627,1628.5,,
JTK,"As v'ad v'ad laa, v'ad laa, cur eh shen magh neesht hmm.","And they were, they were a day, they were a day, putting that out too hmm.",1627.6,1635,,
WR,"As row shen oo-, jannoo ooilley yn geurey?","And was that, doing all the winter?",1634,1639,,
JTK,Oh v'ad foarst geddyn geayl marish.,Oh they had to get coal with it.,1638.6,1641,,
WR,Geayl marish.,Coal with it.,1640,1642,,
WC,Va.,Yes.,1640,1642,,
JTK,Oh va. [laughs] oh va.,Oh yes. [laughs] oh yes.,1641.8,1644,,
WR,As bwonyn as brasnagyn dy licklee.,And logs and twigs probably.,1643.6,1646.3,,
JTK,"Oh aye as conney. Yn traa shen v'ad ooilley losht [sic] conney. conney v'ad jannoo yn, yn, goaill, geddyn yn, yn, breckfys as conney, v'ad, geddyn jinnair as y breck-, cur fo, moain or geayl dys err, jees er y clag.","Oh aye and gorse. That time they'd all burn gorse, gorse they'd make the, the, take, get the, the, breakfast with gorse, they'd, get dinner and the break-, put under it, peat or coal til err, two o'clock.",1645.6,1665,,
WR,"Hmm, hmm.","Hmm, hmm.",,,,
JTK,"Ooilley, ooilley yn dressyn as conney ooilley v'ad lostey.","All, all the brambles and gorse all they'd burn.",1666,1671,,
WC,Mmm.,Mmm.,1671,1673.5,,
WR,Hmm.,Hmm.,1671,1673.5,,
JTK,"Of, cur fo yn, yn...","Of, putting under the, the ...",1672.2,1675,,
WC,Yn moain.,The peat.,1674.6,1676,,
JTK,Yn moain as err ...,The peat and err ...,1675.8,1678,,
DF,"Hmm, hmm.","Hmm, hmm.",1677,1679,,
JTK,[coughs],[coughs],1679,1684,,
DF,Mmm.,Mmm.,1683,1685,,
JTK,"Oh v'ad ooilley go- v'ad goll dys y clieau voish Skylley Breejey dys, dys y clieau dy geddyn yn, dy geddyn yn moain, moain y traa shen.","Oh they'd all go, go to the mountain from Kirk Bride to, to the mountain to get the, to get the peat, peat at that time.",1686,1695.4,,
WR,Row ad?,Were they?,1695.3,1696,,
JTK,"Va, goll voish Ballabin.","Yes, going from Ballabin.",1696,1698,,
WR,Voish Ballabin dys y clieau.,From Ballabin to the mountain.,1698,1695.3,,
JTK,"Voish Ballabin dys y clieau, dys, dys [?] dys, dys Snaefield.","From Ballabin to the mountain, to, to [?] to, to Snaefield.",1699,1707,,
WR,Snaefell.,Snaefell.,1706.2,1707.5,,
JTK,Aye.,Aye.,1706.5,1708,,
WC,Mmm.,Mmm.,1707.3,1709,,
WR,"Mmm, hmm.","Mmm, hmm.",1707.3,1709,,
JTK,What's the Manx of Snaefield?,What's the Manx of Snaefield?,1709,1711.5,,en
WR,Sniaull.,Snaefell.,1711,1712,,
JTK,"Sneeu. Magher, Magher Sneeu is it?","Spinning. Field, Spinning Field is it?",1712.4,1718,,mixed
WR,"Aye Magher Sneeu, nee shen jannoo mie dy liooar.","Aye Spinning Field, that will do ok.",1718,1721,,
JTK,"Or Magher, Magher Sna-","Or Sn- Field, Field.",1719.7,1722.3,,
WR,Magher Sniaghtee.,Snow Field.,1721.4,1723,,
JTK,"Magher Sniaghtee, [coughs] well there's another, then, then, oh, there, when it comes to the end of another one and it's called Penny Pot and it's Ping Pot is it.","Snow Field, [coughs] well there's another, then, then, oh, there, when it comes to the end of another one and it's called Penny Pot and it's Ping Poht is it.",1722.6,1737.6,,mixed
DF,Hmm.,Hmm.,1737,1738,,
JTK,That's the Manx of it.,That's the Manx of it.,1737.2,1739,,en
DF,Oh ta.,Oh yes.,1739,1739.6,,
WR,Ta ram moain ayns Penny Pot.,There's lots of peat in Penny Pot.,1739,1742,,
JTK,"Well, vel ny smoo til there's ayns, ayns y Magher Sneeu?","Well, is there more till there's in, in the Spinning Field? (Snaefell)",1741.4,1745,,
WR,"Oh foddey, foddey smoo.","Oh much, much more.",1745,1748,,
JTK,"Oh well, well, oh well, well, well.","Oh well, well, oh well, well, well.",1746.5,1749.2,,
WR,Ta Penny Pot ooilley moain.,Penny Pot is all peat.,1748.5,1750.9,,
JTK,Ooilley moain.,All peat.,1750.6,1751.6,,
WR,Ooilley moain.,All peat.,1751.4,1752.7,,
JTK,"Cha row mee, err, cha row mee ...","I wasn't, err, I wasn't ...",1752.4,1754.2,,
WR,"Boayl erbee t'ou goll er, er Penny Pot t'ou, t'ou geddyn moain.","Anywhere you go on it, on Penny Pot you, you find peat.",1753.4,1757,,
JTK,Ta moain?,There is peat?,1756,1757,,
