Manx,English,Diplomatic
Raad neemayd fakin Chreest myr t’Eh,Where we will see Christ as he is,Raad neemayd fakin Chreest mor te
As goaill jeh mess billey yn vea,And take from the fruit of the tree of life,As ghoaill jeh mess billey yn vea
Raad ta nyn Jiarn geddyn aarloo,Where our Lord prepares,Raad ta nyn Jiarn gheddyn aarloo
Cummalyn son dy chooilley noo,Dwellings for every saint,Coamalyn son dy chooilley noo
As eiyraght ayns nyn dhie ayns Niau,And heir in their houses in Heaven,As eiyragh ayns nyn dhie ayns Niau
Ass roshtyn peccah as dagh gaue,Out of the reach of sin and every danger,As roshtyn peccah as dagh gaue
Eisht lhig dooin trooid yn Ollick prayal,Then let us pray through Christmas,Esht lhig dooin trooid yn ollick preeayl
Son treisht as graih nagh jean failleil,For hope and love that will not fail,Son treisht as graih nagh jean falleeal
Dy ghleck gys nee mayd roshtyn thie ,To struggle until we arrive home,Dy gleck gys nee mayd roshtyn thie 
Dy cummal ayns yn thalloo vie,To live in the good land,Dy commal ayns yn thalloo vie
Ayns sheshagh marish flaunysee,In company with heavenly beings,Ayns sheshagh marish flaunnysee
Raad nagh bee mayd ny sodjey skee,Where there won’t be tired any longer,Raad nagh be mayd ny sodjey skee
Raad nagh vod geurey roshtyn reesht,Where winter cannot reach again,Raad nagh vod geurey roshtyn reesht
Ny grian yn ynrickys goll sheese,Or the sun of righteousness go down,Ny ghrain yn ynrickys gholl sheese
O giall dooin nish my Hiarn dy ve,O promise us now my Lord to be,O gahl dooin nish my Hiarn dy ve
Marish Dty phobble hene ec fea,Calm with your own people,Marish dy phobble hene ec fea
Goit stiagh trooid Yeesey gys Dty foayr,Admitted through Jesus to your goodness,Goit stiagh trooid Yeesey gys dy fooar
Dy ooashlagh as dy chur Dhyt gloyr,Yo worship and to give glory to you,Dy ooaishlagh as dy chur dhyt gloyr
Dy vod mayd ec Dty chassyn soie,That we may sit at your feet,Dy vod mayd ec dy chassyn soie
Choud as vees eashyn beaynid roie,Whilst the ages of eternity will run,Choud as vess eashyn beeynyd roie
Gerjoil ayns maynrys ceau nyn dra,"Joyful in happiness, spending our time",Gherjoill ayns maynrys cheaie nyn dra
Mayrt hene ayns Niau er son dy braa,"With you, in Heaven, forever.",Mayrt hene ayns Niau er son dy bra
,,
December 10th 1899     ,December 10th 1899 ,December 10th 1899 
Farquhar ,Farquhar,Farquhar
Crenaish,Cregneash,Crenaish
