English,Manx,Notes
Moss family,Keynnagh,
"Mugwort, Artemisia vulgaris","Bollan-feal-Eoin, Bollan-bane",
"Mushroom, Agaricus",Shalmane,
"Mustard (wild), Brassica sinapis",Brashlagh,
"Nettle, Urtica divica",Undaagagh,
"Nipplewort, Lapsana communis",Bolan-y-chee,
"Oak, Quercus robur",Darragh,
"Oats, Avena",Plaggad,
Oat grain,Corkey,
"Onion, Allium cepa",Unnish,
"Oxe-eye daisy, Chrysanthemum leucanthemum",Bastag bane,
"Pæony [Peony], Pæonia officinalis ",Pieannit,
"Pansy (field), Viola tricolor",Blaa villish,
"Parsnip, Pastinaca sativa",Pesmad,
Pea,Pishyr,
"Pennyroyal, Mentha pulegium",Lurgeydish,
Pennyworts (wall) Cotyledon umbilicus,Woishleeyn,
"Pepperwort, Lepidium campestra","Pibbyr-keoie, Pibbyr-yn-dooinney-boght",
"Plaintain (greater), Plantago major",Cabbag Pharick,
"Pond weed, Potamogeton natans",Dullish far ushtey,
"Poppy family, Papveraceae",Lus-y-chadlee,
"Potato, Solanum tuberosum","Praase, Puddase",
"Primrose, Primula vulgaris","Sumark, Sumark-souree",
"Radish (wild), Raphanus maritimus",Raghyl,
"Ragwort, Senecio jacobaea",Cushag,
"Reed, Sparganium simplex",Curtlagh,
"Ribwort plantain, Plantago lanceolate",Slane-luss,
"Royal fern, Osmunda regalis",Bogrenish,
"Rush family, Junceae","Shuin, Leaghyr",
"Rye, Secale cereale",Shoggyl,
"Sage (wild), Teucrium sorodonia",Creeaghlagh,
"St. John’s wort, Hypericum pulchrum",Lus-y-chiolg,
"Sallow, Salix",Shellagh,
"Samphire, Crithmum maritimum",Lus-ny-greg,
"Sea holly, Ergyngium maritimum",Hollyn-traie,
"Sea kale, Cramb maritima",Cail-traie,
"Sea matweed, Psamme arenaria",Shaslagh,
"Sea spleenwort, Asplenium marinum",Rhennagh marrey,
"Sea-weeds, Algae",Famlagh,
"Self heal, Prunella vulgaris",Dooan-y-chione-cast,
"Scurvy grass, Cochlearia-officinalis",Scrub-y-traie,
"Shamrock family, Trifolium",Samark,
"Sheep’s bit, Jasione montana",Bossan-gorrym,
"Silverweed, Potentilla anserina",Duillag-argid,
"Sloe, Prunis communis","Drine doo, Drine arn",
"Sneezewort, Achillea ptarmica",Lus-y-chorran,
"Sorrel, Rumex acetosa",Shughlaig,
"Spear thistle, Cnicus lanceolatus",Onnane sleigh,
"Spearwort (lesser), Ranunculus flammula",Lus-y-binjey,
"Spurge, Euphorbia helioscopia",Lus-ny-fahnnaghyn,
"Spurrey, Spergula arvensis",Carran,
"Stone bramble, Rubus saxatilis",Smeyr-greiney,
"Strawberry (wild), Fragaria vesca",Soo crou,
"Sundow, Drosera rotundifola","Lus-y-druight, Lus-y-ghraih",
"Sweet meadow grass, Anthoxanthum, odoratum",Faiyr sonnys,
"Teasal, Dipsacus sylvestris",Leaddan,
"Thistle, Cnicus arevensis, etc.",Onnane,
"Thrift, Armeria vulgaris",Keirn jiarg,
"Thyme (wild), Thymus serpyllum",Thyme thallooin,
"Tormentil, Potentilla tormentilla",Lus-y-vuinney,
"Turnip, Brassica rapa",Napin,
"Valerian, Valeriana officinalis",Kere hallooin,
"Vervain, Verbena officinalis","Vervine, Yn luss",
"Vernal grass, Erophila vulgaris",Bossan ingey,
"Vetch, Vicia sp—",Pishyr lughagh,
Violet (common dog violet) V. sylvatica,Sumark gorrym,
"Walnut, Julans regia",Cro-rangagh,
"Water hemlock, Circuta virosa",Aghaue,
"Water parsnip, Sium angustifolium",Pollagh,
"Water pepper, Polygonum hydropiper",Glioonagh,
Wheat,Curnaght,
"Willow (creeping), Salix repens",Tuig-y-yeeighey,
"Willow herb, Epilobium montanum",Lus-ny-shellee,
"Wood sorrel, Oxalis acetosella",Bee-cooag,
"Wormwood, Artemisia absinthium",Ullymar,
"Yarrow, Achillea, millefolium",Airh-hallooin,
"Yellow bedstraw, Galium verum",Lus-y-volley,
"Yellow weed, Raseda luteola","Wullee wus, Lus-y-wee",
