Speaker,Manx,English,SubStart,SubEnd
AK,,"Brown or red, and another dab of blue and that was imitation of paper... and this was on that old wall for many, many a long year up on the stable wall... the old dame had it... imitation paper.",0.861382,18.306493
??,,"She was teaching in English, of course, was she?",18.619803,21.174835
AK,,"Oh, English",21.175,22.21668
??,,Yes,22.21669,22.798289
AK,,"English. I’ve heard my mother saying she was going to the school too. Of course, mother’s twenty years dead now and she was over seventy when she died. She was going to the school, she said.",22.798289,22.798289
