Manx,English,Notes
"“Quoi t’ayns shen er mullagh my waag veg screebey-scrabey, screebey-scrabey ; nagh lhig dou broie my soddagyn, ny cloie my sollaghyn?” Dooyrt yn kayt.","“Who is there on top of my little hut scratching-scraping, scratching-scraping; not letting me bake my bonnags, nor boil my soup?” says the cat.",
"“She mish t’ayns shoh, y ghoayr glass shirrey son ny three mannanyn veggey glassey as yn guilley-bock.”","     “It is I that am here, the gray goat, seeking for three small gray kids and the little he-goat,”",
"“Er y thalloo ta foyd as ayns yn aer t’er-dty-skyn, cha naik mee rieau dty vannanyn,” dooyrt yn kayt. ","     “On the earth that is under thee, and in the air that is above thee, I never saw thy kids,” says the cat,",
"Hie ee roee dys thie yn choo, as myr ta’n cliaghtey lesh y cheint, gow ee jeeragh soese dys mullagh yn thie. ","     She goes away to the house of the hound, and as is usual with her kind, she goes straight up to the roof of the house.",
"“Quoi t’ayns shen er mullagh my waag veg screebey-scrabey, screebey-scrabey ; nagh lhig dou broie my soddagyn, ny cloie my sollaghyn?” Dooyrt yn coo.","     “Who is there on top of my little hut scratching-scraping, scratching-scraping; not letting me bake my bonnags, nor boil my soup?” says the hound.",
"“She mish t’ayns shoh, y ghoayr glass shirrey son ny three mannanyn veggey glassey as yn guilley-bock.”","     “It is I that am here, the gray goat, seeking for three small gray kids and the little he-goat.”",
"“Er y thalloo ta foyd as ayns yn aer t’er-dty-skyn, cha naik mee rieau dty vannanyn,” dooyrt yn coo. ","     “On the earth that is under thee, and in the air that is above thee, I never saw thy kids,” says the hound.",
"Hie ee roee dys thie yn çhynnagh, as myr ta’n cliaghtey lesh y cheint, gow ee jeeragh soese dys mullagh yn thie. ","     She goes away to the house of the fox, and as is usual with her kind, she makes straight for the roof of the house.",
"“Quoi t’ayns shen er mullagh my waag veg screebey-scrabey, screebey-scrabey ; nagh lhig dou broie my soddagyn, ny cloie my sollaghyn?” dooyrt yn shynnagh.","     “Who is there on top of my little hut scratching-scraping, scratching-scraping; not letting me bake my bonnags, nor boil my soup?” says the fox.",
"“She mish t’ayns shoh, y ghoayr glass shirrey son ny three mannanyn veggey glassey as yn guilley-bock.”","     “It is I that am here, the gray goat, seeking for three small gray kids and the little he-goat.”",
"“Er y thalloo ta foyd as ayns yn aer t’er-dty-skyn, cha naik mee rieau dty vannanyn. Agh trooid stiagh as gow aash, my ’neen, as verryms dhyt bolgum çheh. Er-lhiams dy vel oo skee as accryssagh lurg wheesh rouail choud jeeaghyn son dty vannanyn.” Dooyrt yn shynnagh.","     “On the earth that is under thee, and in the air that is above thee, I never saw thy kids. But come in and rest, my dear, and I will give thee a hot mouthful. Methinks thou art tired and hungry after wandering as far looking for thy kids,” says the fox. ",
"Myr shen va drogh-yerrey er yn ghoayr glass, hie ee stiagh ayns thie yn çhynnagh, as tra hooar ee stiagh, varr eh ee myr ren eh ny mannanyn, as ren eh gra :—","     Such was the unfortunate end of the gray goat; she went into the fox’s house, and when he got her within he killed her as he did the kids, and says he :—",
"“Oie vie noght, ","“Good night tonight, ",
"Laa mie mairagh, ",Good day to-morrow. ,
Fooilliagh ny Shibberagh,The leavings of supper ,
Jean eh jinnairagh.”,They will do for dinner.”,
