Manx,English,Manx Original,Notes,Date,Source
Jon Robart,"John, son of Robert",,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
Jonny Illiam,"Jonny, son of Illiam",,"[M.S.,30/04/1881]",30/04/1881,The Manx Sun
,,,,,
Jonny Jerg (Jiarg),Red Johnny,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Jimmy yn Nabbin,Jimmy of the Nappin (either ‘of the turnip’ or ‘of the Nappin farm’.,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
jioogh,greedy,jooigh,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
jough,beer / ale,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
jough,"[Literally] “drink,” [but usually applied to] inferior beer.",,"[M.H.,01/011896]",01/01/1896,Mona's Herald
,,,,,
"Juan Clucaish, Lunning-veg, as Mrs Coole","John Clucas, Little London, and Mrs Coole",,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
,,,,,
Juan Nelly’s Lane,[now known as] Post Office Lane],,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
raider,razor,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
feill vuc,pork,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
comrage,comrade,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
rughtan,ruffian,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
pridder,potato,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
powltish,poultice,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
(y) droghad vooar,"(the) big bridge (Ramsey’s stone bridge, across the Sulby)",,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
Thie oast ny Mwyllar,"The Miller’s Inn (The Royal George Hotel, now known as Barbery Coast North).",thie oast na mullyr,[Owned by the Monk family who also owned the Ramsey’s windmill],17/10/1877,Mona's Herald
Jurby veg ny screb,Little Jurby of the scoundrels / scabs.,,"[This is verse from a song titled ‘Arrane y Whee Hoa’ about the Act of Settlement, the exact meaning of which is obscure, although ‘y Vuinneel Veg’ seems to be a nickname for Bishop Wilson.] [M.H.,17/10/1877]",17/10/1877,Mona's Herald
Cha row ee rieau ny share,She was never better,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
Tastal da’n Vuinneeil Veg,Attending to the [little sleeve?],,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
As signal dys y laue chaire,And signing to the right hand(side) ,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
jurnaa,a journey,jurna,"[M.S.,30/04/1881]",30/04/1881,The Manx Sun
,,,,,
kiark-rheinnee,"a partridge, a woodcock",,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
kiartagyn,things not tidied away,kiarthagyn,"[R.C.,23/12/1898]",23/12/1898,R.C.
,,,,,
Kione Droghad ,Onchan Village,,"[M.H.,09/06/1852]",09/06/1852,Mona's Herald
,,,,,
Kys nagh vel shin geddyn deiney gollrish eh shoh:,how are we not getting men like him?,kys ne vel sheen ghetthen Dhaney gorish a shaw,"[A Manxman’s trip to London: M.S.,11/08/1883; 9]",11/08/1883,The Manx Sun
lhangeid,a lanket,lan-kad,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
lesh my gholl,as I was going,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
Lhargeeyn-ny-Mwaaee ! ,The slopes of the hares!,,"[P.C.,09/03/1895]",09/03/1895,P.C.
,,,,,
leshtal,"an apology, an excuse",lheschal,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
Lesh-ee! Lesh-ee! Lesh-ee!,"With her, with her, with her (shouted together when launching boats). ",,"[ ‘towards her’ may be a better translation?] [M.H.,01/011896]",01/01/1896,Mona's Herald
Lhiggey my hraa,“Wasting my time.”,Lig-a-my-chraa.,"[M.H.,12/011898]",12/01/1898,Mona's Herald
,,,,,
"Litcheragh goll dy lhie litcheragh dy irree, as litcheragh dy gholl dys y cheeill jedoonee","Sluggish to go to bed, sluggish to rise, and sluggish to go the church on Sunday.",,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
“Loch a daa!” ,interjection – call to gain attention [??],,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
Loughtyn (loghtan),brown wool from the loghtan sheep,,"[M.H.,22/01/1874]",22/01/1874,Mona's Herald
,,,,,
"graih Yee, bee shee ayn eisht","For God’s sake, there’ll be peace then",graye yee bee shee ooin esh,"[M.H.,22/01/1874]",22/01/1874,Mona's Herald
Mamvooar," ‘Great Mam’ [ie: Queen Victoria, head of the Church of England]",,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
Mannagh gyn scoghey murn scrieuym reesht. (Mannagh jean scughey moyrn screeuym reesht).,If (it) doesn’t remove pride [humble him] I’ll write again. ,,"[M.H.,20/12/1843]",20/12/1843,Mona's Herald
,,,,,
Manninagh Son Bragh!,Mannanan Forever!,,"[THE PORT ERIN AGITATION. M.S.,01/02/1879]",01/02/1879,The Manx Sun
,,,,,
"Moar yn Kella,
Preaçheil son mooarane blein,
Cha row fys echey dys myleeaney,
Dy row yn jouyl ayns jough as feeyn.","Moore of the Kella,
Preaching for many years,
He didn’t know until this year,
That the devil was in beer and wine.",,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
mease,a measure 500 herrings,,"[They (the fishermen) sold their herrings by the mease of five hundred, there being six score and four fish to the hundred. They counted the herrings as follows: two men got a basket between them, when they commenced with unnane, jees, three, i.e., one, two, three, warp, and so on alternately to daeed, or forty, when there was added another warp and a single herring, which was called “tally” thus making 121 fish. The skipper carefully marked each “tally” by making a notch with his knife on a stick. Every fifth notch crossed the other four, and this made a mease.] [M.H.,01/011896]",01/01/1896,Mona's Herald
Meen. ,My dear,,"[Manxman,19/11/1898]",19/11/1898,Manxman
,,,,,
Millish. ,My dear,,"[Manxman,19/11/1898]",19/11/1898,Manxman
,,,,,
"My dooinney veen ta Pashance ayd son kiare bleiney jeig, as cha nel shiu veg share foast.","My dear man, you have (had) ‘Patience’ for fourteen years, and you are no better yet.",,"[Give me patience: IoME,25/02/1899]",25/02/1899,Isle of Man Examiner
,,,,,
"“My vac, ny soie beg jeh smaght y Chiarn, chamoo lhig dty chree voïd tra t’eh coyrt seaghyn dty raad. Son ta’n Chiarn smaghtaghey eshyn shynney lesh; as kerraghey dy chooilley vac t’eh goaill-rish.”—*","“My son, do not despise the chastisement of the Lord, neither lose your heart when he send distress your way. For the Lord chastises he he most loves; and punishes every son he acknowledges.”",,"[M.A., 24/10/1807]",24/10/1807,The Manks Advertiser
,,,,,
"Myr dooyrt y Vuggane mooar, ny cur eïe orryms as cha derryms eie ort!",As the big buggane said; don’t meddle with me and and I won’t meddle with you!,,"[M.A.,31/08/1821]",31/08/1821,The Manks Advertiser
,,,,,
My Graih. ,My dear,,"[Manxman,19/11/1898]",19/11/1898,Manxman
,,,,,
mullag,"cask, or keg",Mudlag,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Ned Shugerback,Ned ‘Sugar-back’ (nickname),,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
"Nee goll thie t’ou? 
Cha nee.","Is it going home you are? / Are you going home?
No.",,"[M.H.,30/12/1885]",30/12/1885,Mona's Herald
Nee goll thie v’ou? ,Is it going home thou art? [‘wast’ expected here],,"[M.H.,30/12/1885]",30/12/1885,Mona's Herald
,,,,,
Nickey,‘Nicky’ fishing boat,,"[About 1850 a number of Cornish fishermen came to Peel with their boats, and, as Nicholas, or Nickey, was a common name among them, it was applied to their rig, which was then very generally adopted by the Manx boats, which also took the name of “Nickeys.”] [M.H.,01/011896]",01/01/1896,Mona's Herald
Ny Poose eirey-inneen ny slooid ny ta’n ayr eck er ny ve croghit,‘navar marry an hearess onless her father wes hung’,,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
,,,,,
offish,office,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
Oie’l Verree,Oie’l Verree (Christmas Eve singing event in a church),Oiel Verry,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
"O Juan, Juan, gow kiarail jeed hene","O Juan, Juan, take care of yourself;","O Juan, Juan, gow chrael jeed hene;","[M.H.,18/12/1844]",18/12/1844,Mona's Herald
,,,,,
Ollick Ghennal Bob,Happy Christmas Bob,,"[M.H., 07/01/1880]",07/01/1880,Mona's Herald
,,,,,
Ollick vie chennal (sic) as blein feer vie. ,A good cheery Christmas and good new year.,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
,,,,,
ouw,"[The herb in question is the] marsh penny wort, [known in the Island as the ouw, pronounced ow.]",,"[M.H.,19/01/1887]",19/01/1887,Mona's Herald
,,,,,
paggad,[Nickname for] ‘The Isle of Man Steam Packet Company”. ,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
pair (NBHR; piyr),part of a net. ,,"[So much of the net as extended from one float to another. There were five “pairs” to each net. [M.H.,01/011896] ",01/01/1896,Mona's Herald
Palchys as maynrys gys Ellan Vannin. ,Plenty and happiness to the Isle of Man.,,"[M.H.,08/011873; / M.S.,04/01/1873;]",04/01/1873,The Manx Sun
,,,,,
Pargys Caillyt ,Paradise Lost ,,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
perkin,porpoise,,"[M.H.,01/011896]",01/01/1896,Mona's Herald
Fidder,a Weaver,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
peiagh,Person,Piough,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
Port Iron,Port Erin,,"[M.H.,11/10/1876]",11/10/1876,Mona's Herald
"Poosey dy moghey, as poosey dy mennick.","Marry early, and marry often.",,"[(T.E. Brown): P.C.,29/02/1896]",29/02/1896,P.C.
praase as skaddan,herring and potato,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
Pridder,Potato [(pridder bote — potato boat),,"M.H., 03/04/1878]",03/04/1878,Mona's Herald
Purt Lhague ,Purt Lewaigue,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
raider,Razor,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
ranther,‘a ranter’ [a Primitive Methodist],,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
Ree Gorrey.,‘King Orry’ [Godred Crovan],,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
,,,,,
“ROLLAGE ’N TWOAIE.”,North Star,,"[Advert for W. M. Corlett’s North-star Boot and Shoe Depot, 21 West Quay. ",24/02/1872,Advert for W. M. Corlett's North-star Boot and Shoe Depot
,,,"R.C.,22/08/1885]",22/08/1885,R.C.
Ronag,Ronague,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
"R’ou prowal ayns shen, bhoy?","Were you proving there, boy. [Greeting between fishermen of different boats looking for fish.]","Row prowal ayns shen, bhoy?","[M.H.,01/011896]",01/01/1896,Mona's Herald
,,,,,
Rughtan ,"[a perjorative, likely a variant of ‘riftan’] a worthless fellow.",,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Rutchod Watsun,Richard Watson,,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
Sassenagh,the Manx term applied to the English race,,"[M.H.,15/041885]",15/04/1885,Mona's Herald
,,,,,
Shagg ,name of a dance,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
"She-dy-vea, ta Jee graih. ","‘Welcome’, God is Love.",,"[M.H.,08/011873]",08/01/1873,Mona's Herald
,,,,,
Shee dy row marin !! , ,,[May Peace be with us!!],08/01/1873,Mona's Herald
,,,"P.C.,09/03/1895;]",09/03/1895,P.C.
Shee dy Vea Mannin —Shee Yee dy row Meriu,Welcome (to) the Isle of Man — may God’s Peace be with you [inscription on Mr Noble’s house for a royal visit],,"[IoMT,04/02/1882]",04/02/1882,Isle of Man Times
Shee bannee Betty boght,God bless poor Betty.,,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
Shee Dy Vea gys Glion Laxey,Welcome to Laxey Glen,,"[GREAT DEMONSTRATION AT LAXEY.  M.S.,07/11/1885]",07/11/1885,The Manx Sun
,,,,,
Shibber Baatey ,"the boat’s supper [— This was held about Christmas time, very often on old St Stephen’s night (January 7th), or old New Year’s night (January 13th). On this occasion there was provided an abundance of pies and puddings, and plenty of rum and jough. Each member of the crew could bring his wife or sweetheart, and so largely did they indulge that these suppers have been known to cost from five to ten pounds.]",,"[M.H.,01/011896]",01/01/1896,Mona's Herald
,,,,,
Shoh Gys yn Chlaynt Eu,Here’s to Your Health.,,"[GREAT DEMONSTRATION AT LAXEY.  M.S.,07/11/1885]",07/11/1885,The Manx Sun
Shoh joarree çheet.,Here’s a stranger coming.,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
"Shoh, quallian jeh’n cheid seigh ","This, a pup of the first litter",,[P.C. 23/03/1895],23/03/1895,P.C.
Loayr! t’eh son reuyrey !,Say! He (sure) can dig!,Lioar ! t’eh son reuyrey !,"[In Anglo-Manx Dialect ‘Law! ’, or ‘Lor!’’, [Loayr], is used as an intensifier as [abair] is in Scottish Gaelic (although, it is commonly taken to be a contraction of ‘Lord’).",23/03/1895,P.C.
shot ,drink got on credit (at the start of the fishing season),,"[M.H.,01/011896]",01/01/1896,Mona's Herald
Skeerey Pherick,Patrick Parish,,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
,,,,,
skeoigh,"spruce, tidey",skeough,[M.S. 26/02/1881],26/02/1881,The Manx Sun
,,,,,
Slaynt dy row lhiat Ayr Ullick,Health to you Father Christmas,,"[Christmas at the Asylum: M.S.,28/12/1878]",28/12/1878,The Manx Sun
,,,,,
sleetch,a creep,,"[Ramsey; Offensive Language Again. M.S.,11/08/1894]",11/08/1894,The Manx Sun
Sleogh (sloc) [of pence],a large amount,,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
smook,a smoke,,"[M.H.,04/05/1881]",04/05/1881,Mona's Herald
sporran,purse,,"[M.S.,08/10/1881]",08/10/1881,The Manx Sun
Stanlagh Gy Bragh! [??],Gaelic war-cry which ever rang as precious music in the ears of the warlike Stanley—,STANLAGH Gooil Bragh!,"[Whig: M.S.,28/02/1852]",28/02/1852,The Manx Sun
steamer thallooinagh,a train engine / a locomotive,,"[M.H.,16/08/1876]",16/08/1876,Mona's Herald
suggane,straw rope,sugane,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
stoyl,a seat,,"[(Rev Readcliffe, Liverpool) M.H., , 28/01/1885]",28/01/1885,Mona's Herald
stoyl drommey,chair,,"[‘Peel Manks Reading’: M.H.,01/011874]",01/01/1874,Mona's Herald
stoyl dromey,"[a seat with a back, equivalent to a chair",,"[(Rev Readcliffe, Liverpool) M.H., , 28/01/1885]",28/01/1885,Mona's Herald
streebagh,whore,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
suggane corrag,a straw rope made on the thumb.,,"[‘Peel Manks Reading’: M.H.,01/011874]",01/01/1874,Mona's Herald
steamer,a steamer,,"[M.H.,16/08/1876]",16/08/1876,Mona's Herald
stuggey ,a youth,,"[P.C.,09/03/1895]",09/03/1895,P.C.
stuggey,a youth,stugga,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
stuggey,a youth,stugga,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
Ta aggle y chiarn toshiaght vashtee. ,Fear of the lord is the beginning of baptism.,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
Ta airh er ny cushaghyn ayns shoh.,There's gold on the cushags here. (Manxmen used to say whenever anything was said against the Island),,"[(Keys): Ramsey Weekly News,30/04/1898]",30/04/1898,Ramsey Weekly News
"Ta Albinagh er e ockle as astan er e amman, daa red feer doillee dy chummal. ","A Scotsman on (by) his word and an eel on (by) his tail, two things that are very difficult to hold.",,"[A Manx Proverb: IoME,18/02/1899]",18/02/1899,Isle of Man Examiner
Ta creenaght ny share na rubieyn. ,Wisdom is better than rubies.,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
Ta drogh hammag ny share na magher foshlit,A bad bush in a gap is better than an open field,,"[(Rev Readcliffe, Liverpool) M.H., , 28/01/1885]",28/01/1885,Mona's Herald
Ta keeayll ommidjys ny slooid na t’ee ec dooinney creeney dy reayll.,Wit is folly unless it be in the possession of a wise man.,,"[Proverbs: IoME,10/06/1899]",10/06/1899,Isle of Man Examiner
,,,,,
Ta mee credjal nagh vod slane Elian Vannin sauail yn guilley shoh veih cheet dy ve ommydan.,I believe the whole Isle of Man cannot save this boy from being a fool.,,"[(Edward Forbes’ grandmother): M.H.,30/12/1896]",30/12/1896,Mona's Herald
Ta mee smokal pipe.,I am smoking a pipe.,,"[M.H.,16/08/1876]",16/08/1876,Mona's Herald
Ta’n margay fo rein.,The Fair is now under command,,"[Ramsey Weekly News,05/03/1898]",05/03/1898,Ramsey Weekly News
Ta shin Di-jerroo jercal dy be yn calloo shoh jeh vondeish erskyn towse mooar da’n Ellan ain,We sincerely expect [hope] that this pier will be of immeasurably positive benefit to our Island.,,"[THE NEW LANDlNG PIER  (Messrs Cowle): M.H., , July 03, 1872]",03/07/1872,Mona's Herald
 “Ta shin dy-jarrow jerkal dy bee yn Calloo shoh jeh vondeish erskyn towse mooar da’n Elian ain.”,“We sincerely hope that this Pier will be of immeasurably great benefit to our Island.”,,"[COMPLETION OF THE BATTERY PIER. (The Isle of Man Harbour Commissioners): M.H., , September 03, 1879]",03/09/1879,Mona's Herald
Ta shin dy jarroo jerkal dy bee yn calloo shoh jeh vondeish erskyn towse mooar da’n Ellan.,We indeed expect that this pier will be of immeasurably great benefit to the Island.,Ta shin Jarroo Jercal dy be Yn Calloo shoh jeh Vondeish erskyn Towse Mooar da'n Elian.,"[M.S.,05/071873]",05/07/1873,The Manx Sun
"Ta ynsagh coamrey stoamey yn dooinney berchagh, as t’eh berchys yn dooinney boght. ","Learning is the fine clothing of the rich man, and it is the wealth of the poor man.",,"[Proverbs: IoME,10/06/1899]",10/06/1899,Isle of Man Examiner
,,,,,
tay ,tea,,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
thie-oast gennal,a merry inn,thie ouse ginnal,"[M.S.,05/02/1881]",05/02/1881,The Manx Sun
,,,,,
"Dy jarroo, t’ee kiart; Dy jarroo, t’ee kiart","Indeed, she’s right; Indeed, she’s right.",The jarroo thee Cairt; The jarroo thee Cairt,"[‘Nan-A-Creggan’s Christmas Eve’ by Juan Lewin; M.H., 07/01/1880]",07/01/1880,Mona's Herald
thie oast,an inn,thie oase,"[M.S.,15/10/1881]",15/10/1881,The Manx Sun
,,,,,
Thie Ooast ny Mwyllar,The Millers’ Inn,Thie oast na Mullyr,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
,,,,,
Thie Oast Karron,"Karran’s Inn (The Bridge Inn, Ramsey)",,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
,,,,,
Thom-an-Ollick,Christmas Tom,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
Tooilley Keesh ! Tooilley Keesh ! ,More Tax! More Tax!,,"[THE PORT ERIN AGITATION. M.S.,01/02/1879]",01/02/1879,The Manx Sun
Toot,Fool,,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
"Tra hig yn laa, hig yn coyrle lesh.","When the day comes, the counsel will come with it.",,"[M.H.,12/12/1860]",12/12/1860,Mona's Herald
ullymar ,Wormwood,,"[P.C.,09/03/1895]",09/03/1895,P.C.
Ushtey Millish sy Gharee,Sweet Water in the Bog (song),,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
uss,You (emphatic),,"[Yn Chied Lioar: Manxman,04/03/1899]",04/03/1899,Manxman
Vannin veg veen. ,Dear little Mannin.,,"[M.H.,08/011873]",08/01/1873,Mona's Herald
,,,,,
Veen. ,My dear,,"[Manxman,19/11/1898]",19/11/1898,Manxman
,,,,,
"Vel peiagh erbee goll dys leigh ayns Keeill-Pherick? ... Skeerey-Pherick, Skeerey Marooney, Skeerey-Conaghan, Skeerey-Braddan, Skeery-Steldane, Skeerey-Malew ... Skeerey-Chreest-Rushen.","“Is there any person going to Law in St Patrick’s Church? ... Parish of Patrick, Marown, Onchan, Braddan, St. Anne (Santon), Malew, ... Kirk Christ Rushen ?” ","Vel Pagh er-bee gol gys Lhie ayns Keill-e-Pheric ? ... Skeerey-Pheric, Skeerey Marooney, Skeerey-Conaghan, Skeerey-Braddan, Skeery-Steldane , Skeerey-Malew ... Skeerey-Chreest-Rushen.","[M.H.,13/05/1857]",13/05/1857,Mona's Herald
Villish. ,My dear,,"[Manxman,19/11/1898]",19/11/1898,Manxman
Vundhy,Vondy (surname),,"[M.H., 03/04/1878]",03/04/1878,Mona's Herald
voteil,(in the) bottle,,"[Juan-yn-Jagged Keir at the North: M.H.,11/10/1876]",11/10/1876,Mona's Herald
warp,a lot of three herrings.,,"[M.H.,01/011896]",01/01/1896,Mona's Herald
wherry,A vessel with two masts rigged with fore and aft sails,,"[CUSTOMS OF MANX FISHERMEN: M.H.,01/011896]",01/01/1896,Mona's Herald
,,,,,
"Vr Harry Callister, Skeerey Pherick ... Arrane ny Ferrishyn (song of the fairies). ","Mr Harry Callister, Patrick Parish ... Song of the Fairies. ",,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
,,,,,
whillian,a ‘whoosh’,,"[M.H.,17/10/1877]",17/10/1877,Mona's Herald
,,,,,
"yn beishteig ghraney, meeyllagh shoh",this ugly lousy insect ,,"[‘Peel Good Templars”: IoMT,01/02/1873]",01/02/1873,Isle of Man Times
,[perjorative aimed at ‘Watchman’ – a writer alleged to have slandered the ‘Peel Good Templars’]. ,,,01/02/1873,Isle of Man Times
Yn chiare-as-feed-ny-garrane,The Keys of the rawhide sandals,,"[M.H.,22/01/1874]",22/01/1874,Mona's Herald
Yn Chenn Vanninagh,The Old Manxman,,"[IoMT,02/05/1868]",02/05/1868,Isle of Man Times
 “Yn Chrosh-Vusthaa”  ,The muster cross,,"[M.H.,25/10/1873]",25/10/1873,Mona's Herald
‘Yn Fea’,‘The Rest’ [proposed name for the asylum],,"[IoME,01/04/1899]",01/04/1899,Isle of Man Examiner
Yn Jeirkaigh Meshtyllagh,The Drunken Beggar,,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
"Yn Kiannoort y Choonceil, as yn Chiare as Feed. ","The Governor, the Council and the Keys.",,"[M.H.,08/011873]",08/01/1873,Mona's Herald
Yn Ockleyr Ghaelckagh,The Manx Dictionary ,,"[IoMT,02/05/1868]",02/05/1868,Isle of Man Times
Yn Ockleyr Vanninagh     ,The Manx Dictionary,,"[IoMT,02/05/1868]",02/05/1868,Isle of Man Times
,,,,,
“Yn Stiurt Meechairagh.”,“The Unjust Steward”,,"[THE PORT ERIN AGITATION. M.S.,01/02/1879]",01/02/1879,The Manx Sun
,,,,,
Yn ven Rein yn Band as y Pobble.,"The Queen, the Band and the People.",,"[M.S.,24/02/1872]",24/02/1872,The Manx Sun
"Saggyrt Caine, Skeerey Lonan, ","Parson Caine, Lonan Parish,",,,24/02/1872,The Manx Sun
Dy Ghoaill yn Stoyll Drommey. ,To Take the Chair.,,,24/02/1872,The Manx Sun
Tholt-y-Whyl,The Ruin of the Mill [Tholty Will],Tholt-e-Will,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
bun,"news, explanation, chat",,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
fou,rumour,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Shibber-mean-oie,Midnight supper,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Tholt-y-Chiarn,The Lord’s Barn,Tholt-e-Chiarn,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
dooinney-seyr,Gentleman,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
cooish,cause or conversation,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
feer rastagh,boisterous,fee rashtaugh,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
ushag reeast,plover,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
ushag wee,yellow-hammar,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
slieu-ny-farran,Fountain Mountain,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
sliue farrain,parsnips,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
bwaag,Hut or Booth,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Prog-an,Warm cake put into a basin of buttermilk.,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
coo,greyhound,choo,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
peajeog custey,Cursed grub ,Phischeig Custaa,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Scoltagh,Splitting (the name given to local dinners),Skyol-tagh,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
jioogh,greedy,jo-ah,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
jeeyl / jeeill,damages,jeil,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Ard-valley,City,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
dorrinagh,Tempestuous or stormy,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
cowagyn,Unintelligible loud talk,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
aggle aggle,Fearful,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
"Moghrey dhyt y phishyr glass
Moghrey dhyt hene y fritlag vreinn","Good day to thee ye green pea ...
Good day to thee [thyself] ye dirty ragged rascal","Morra dhyt yn pishyr glass ...
Morra dhyt heen yn fritlag vredyn","[M.H.,05/06/1901]",05/06/1901,Mona's Herald
gonnagh,Cross or angry,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
geill,notice,geale,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
gour-my-drommey,(Walking) backwards,gour-myr-drommey,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
gennal,cheerful,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
coar,agreeable,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
boy-veen,dear boy,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
slaa,"daub, plaster [here in the phrase ‘she couldn’t give her mother tongue the right slaa’ it suggests ‘finesse’]",,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
skeet,"a sight, a view",,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Dreem-Cammag,Snail Ridge,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Cronk Dhoo,Black Hill,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Scutcher,a notable body [Anglo-Manx Dialect] [a scutcher of a lass],,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Dollan,"a hoop with sheepskin spread over it, a drum, a winnowing fan",Dhollan,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
Molly-Kione-Dhoan,Fair (Brown) Haired Molly,,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
joaree,"strange, novel, peculiar",joree,"[M.H.,05/06/1901]",05/06/1901,Mona's Herald
