Manx,English,Notes
,"     I suppose it has come down from father to son like other yarns, but it must have been long ago when the fairies are not so shy as they are at present. I suppose the mere-maids [mermaids] and their families are gone to Fairyland with the fairies, for meremaids & fairies have disappeared.",
,"     I cannot recollect anything more at present, So I must conclude, wishing you health & happiness, which is a rare thing in this world, for none are truly happy, for this world is not a permanent home though it is said that some have their portion here. But I would rather not enjoy the present but patiently await the happiness of the world to come.",
,          Edward Faragher of Cregneish,
,           April 1897,
,,
,,
,,
,,
,,
,,
