Manx,English,Notes
Ny deiney cha voghe foayr ’sy quaiyl. ,Nor would men get favour in court ,
Veagh ooilley strieu ,All the striving would be ,
Quoi veagh feeau ,Who would be worthy ,
Dy gheddyn foayr ayns eiraght niau.,To get favour in the heavenly heritage.,
Yn boght ayns cree as ymmyrchee ,The poor in heart and the needy ,
"Veagh coontit yn sleih bare nyn vud, ",Would be counted the best people amongst us. ,
"As saynt yn theihll yinnagh failleil, ",And the desire of the world fail ,
Chammah’s veagh wheesh dy strieu nyn vud. ,Neither would so much strife be among us ,
Veagh creeaghyn slieh ,The hearts of the people would be ,
Kinjagh cur dwoaie ,Always hating ,
Da dagh [ms. Dy] oik as dellal creoi.,Each evil and hard dealing.,
She graih as shee as giastyllys ,It is love and peace and charity ,
Veagh reill ayns cree dagh peccagh bio ,[That] would rule in the heart of every living person ,
As ooilley veagh sheer ghionney stiagh,And all would be verily pressing in ,
Dy gheddyn eiraght ayns’yn seihll noa ,To obtain a heritage in the new world ,
Raad nagh bee ny smoo ,Where there will be no more ,
Dy strieu ny troo ,Of strife nor envy ,
Ny crosh erbee dy chur shin mow.,Nor any cross to vex [lit: destroy] us.,
Chyndaa-jee shiuish dy çhionn ,Turn ye speedily [ye],
Ta cur rish peccah ny aggair ,That commit sin and injustice ,
As yiow-jee ayrn jeh’n gloyr shen ,And partake of that glory ,
Ta kiarit diu liorish yn Ayr ,That is prepared for you by the Father ,
"Leih dooin, O Yee ","Forgive us, O God ",
Dagh olk eajee! ,Each odious evil! ,
Ta rieau er ghientyn ayns nyn gree.,That was ever conceived in our hearts.,
,,
,,
[1] Likely [ruin] a variant spelling of [rooin] ‘to us’.,,
