Manx,English,Notes
Lurg yn imbagh skeddan veagh ny eeasteyryn dy mennick chionnaghey mart eddyr oc.,After the herring season the fishermen would often buy an ox between them. ,
"Ny keayrtyn veagh kiare ny queig goaill mart eddyr oc, as sailjey eh ayns stoandey.",Sometimes four or five would take an ox between them and salt it in a barrel.,
V’ad myrgeddin rheynn yn çheh; lurg shen v’ad cur yn çheh ’sy çhymley dy hyrmaghey.,They were dividing the hide also; after that they were putting the hide in the chimney to dry. ,
Tra v’eh çhirrym dy liooar eisht v’ad goaill sheese eh as cur eh ayns ushtey dy yannoo bog.,When it was dry enough then they were taking it down and putting it into water to make [it] soft.,
"Eisht v’ad goaill towsan yn chass oc, as jannoo ad hene ny carraneyn oc hene.","Then they were taking measure of their foot, and they [would] make their own carranes themselves. ","Note by Paton: [Mr. Moore told me that they would kill the ox and cut it up for division by the roadside. They set their foot on the bit of hide, and pricking round it with a knife, marked out the future carrane. Sir Walter Scott gives a similar description of the making of these ancient shoes.]"
V’ad ny s’aasagh na braagyn er y chass dy hooyll ayns ny magheryn geiyrt er y cheeaght.,They were easier than shoes on the feet to walk in the fields following the plough.,
YN OUYR AYNS SHENN TRAAGHYN.,THE HARVEST IN OLD TIMES,
Va ny beayneeyn cur lesh nyn gorran oc hene gys yn vagher. ,The reapers brought their own sickle to the field. ,
"Va’n chied chorran ta mee er n’akin va feeacklyn echey goll-rish saaue, as va foyr currit er goll-rish ny corranyn ta ayn nish.","The first sickle that I saw had teeth like a saw, and there was an edge put on it like the sickles that are now in.","Notes by Paton: [that I [ever] saw], [had teeth [lit: were teeth at it]], [now in [existence]]"
"Tra veagh ny beayneeyn ec kione yn vagher goaill aash, feer vennick v’ad ooilley goaill jaagh jeh’n phiob.","When the reapers at the end of the field would be taking a rest, very often they were all taking a smoke of the pipe.",Note by Paton:  [the end [lit: head]]
Choud’s v’ad goaill aash va’n fer va kiangley ny bunneeyn cur foyr er ny corranyn oc.,Whilst they were taking a rest the man who was binding the sheaves was putting an edge on their sickles. ,
Va mennick ooilley ny mraane goaill tayrn jeh’n phiob ayns ny traaghyn shen. ,Often all the women were taking draw of the pipe in those times. ,
Veagh ny beayneeyn mennick jannoo eab quoi beagh ec kione yn vagher toshiaght.,The reapers would often contend who would be at the end of the field first.,"Notes by Paton [contend [lit: make effort]], [the end [lit: head]]"
"My veagh yn gart mooie roish yn furriman v’eh dy chur greddey da, as cur tarnoil da.","If the gart were before the ‘furriman’ he was to give him a slap, and give him a knock down blow. ","Notes by Paton: [the gart [the last reaper, to the right-hand side of the field]], [the ‘furriman’ [usually the best reaper, took the left-hand side]]"
Ta’n lane doarn s’jerree jeh’n arroo enmyssit yn Vheillea.,The last handful of corn is called the Mheillea. ,
"T’eh kianglt lesh rybbanyn, as ny beayneeyn yllagh dy çheet ayns sheshaghtyn cooidjagh gys yn vheillea. ","It is tied with ribbons, and the reapers calling to come in companies to the mheillea. ",Note by Paton: the mheillea [harvest-home]
Lurg da shibber va harrish v’ad goaill toshiaght dy ghaunsin.,After supper was over they would begin dancing.,
Veagh cloieder viol oc dy chummal traa roue daunsin. ,There would be a fiddler at them to keep time to them dancing. ,
V’ad freayll eh goll gys oor anmagh.,They were keeping it going to a late hour. ,
Va liggar goll dy palçhey— ‘Rum’ —cha row eie er whisky ayns ny traaghyn shen,Liquor was going in plenty—rum—they didn't meddle with whisky in those times.,
"Tra va ghaa ny three goll dys thie oast dy iu, goaill jough cooidjagh, yn fer s'jerree yinnagh folmagh yn kaart v’eh dy lhieeney yn kaart reesht ; va shoh yn çhenn chliaghtey oc, as cur jerrey lesh yn iu lesh ‘jough y dorrys.’","When two or three were going to a public-house to drink, taking a drink together, the last man that would empty the pot, he was to fill the pot again; this was their old custom, and they would end the drinking with a ‘drink of the door.’","Note by Paton: [‘jough y dorrys; ‘drink of the door.’, the Scotch-Gaelic ‘deoch an doris’]."
"Bollagh yn sleih Manninagh cuirr rass-lieen, as tra veagh eh lesh gaase va yn blaa yn cullyr s’bwaagh ren me rieau fakin.","The Manks people used to sow flax-seed, and when it was growing the flower was the most beautiful colour that I ever saw. ",
"Tra va’n lieen buinnit v’ad cur eh ayns towl ’sy thalloo, as lieent dy ushtey as faagit son shiaghtyn ny jees dy yannoo yn lieen brishlagh. ",When the flax was harvested they were putting it into a hole in the ground and [the hole was] filled with water and left for a week or two to make the flax brittle.,"Notes by Paton: [The woody part of the flax was made brittle and beaten—not the fibre contained in it.], [There is, or was, some years ago, a hole in a corner of Maughold churchyard, where I was told flax used to be steeped]"
V’ad kinjagh cur yn snaie er thalloo dy hyrmagh. Keayrtyn ’sy çhiaghtyn v’ad raasey yn snaie as cur lhieu eh er nyn ghreeym gys y thalloo. ,They were frequently putting the yarn on the ground to dry. [Several] times in the week they were gathering up the yarn and bringing it on their back to the ground. ,
Va snaie jeant jeh kennip. ,Yarn was made of hemp [also]. ,
"V’ad goaill eh eisht as kerey eh lesh kerey-yiarn, lurg da’n coonlagh ve brisht lesh maidjey. ",They were then taking it and carding it with a carding-iron after the straw was broken with a stick.,Note by Paton: [the straw [woody part]]
Va’n kerey-yiarn as feeacklyn liauyr echey dy ghlenney ny strawyn ersooyl. ,The carding-iron had long teeth to clear the straw away. ,
Va’n greie va jannoo yn obbyr enmyssit heckle. ,The tool that v was doing the work was called a heckle. ,
Eisht v’ad snieu yn lieen ayns nyn dhieyn oc. ,Then they were spinning the flax in their houses. ,
Eisht v’ad cur yn snaie da’n fidder dy fee ayns eggey.,Then they were giving the yarn to the weaver to weave into a web.,
Shen va keint dy lheeintyn va ec deiney ayns shenn traaghyn roish nish.,That was the kind of shirts men had in old times before now.,
