Manx,English,Notes
"Ga va’d gyn logh tra va’d sy gharey sthie, ","Though they were without sin when they were inside the garden,",
"Cha moo va oc tushtey, jeh mie as sie, ","As soon as they had intelligence, of good and evil,",
"Cha leah as ren ad jeh yn villey ghee, ","As soon as ate of the tree,",
Chelleeragh hoig ad dy vrish ad sarey Yee. ,The immediately realised that they broke God’s command.,
"Eisht ooilley’n chroo chelleeragh gow caghlaa,","Then all of creation immediately changed,",
"Eer maase y vaghragh, marish yeeanlee ’n aer ; ","Even the cattle of the field, as well as the birds of the sky ;",
"Roish shoh v’ad ooilley cooidjagh beaghey ayns graih, ","Before this they were all together living in love,",
Agh nish t’ad ooilley ayns olkys noi ry hoi. ,But now they are all in evil against eachother.,
"Adam va mâroo coyrt my ner dagh nhee, ","Adam was with them observing everything,",
"Dyn dooyt, my chaarjyn, atchim ayns e chree. ","No doubt, my friends, terror in his heart.",
"Booishal dagh olk, gys mie reesht y hyndaa, ","Wishing each evil, to turn again to good,",
Agh va’n tra harrish ve nish ro anmagh daa. ,"But the time was over, it was now too late for it.",
"As ga dy ren eh brasnagh e er chroo, ","And although he stirred his creator,",
"As nagh ren tannaghtyn dy reayl e ghoo, ","And did not continue to keep his word,",
"Foast loayr Jee rish lesh fockleyn lane dy graih, ","Still God spoke to him with words full of love,",
Ginsh da yn saase dy cosney’n eiraght thie. ,Telling him the method to get his inheritance home.,
"She ayns yn astyr ta’n Scriptyr Bannit graa, ","It is in the afternoon, the Blessed Scripture says,",
"Ren Jee cheet neose as loayrt lesh ard corraa,","That God came down and spoke with a loud voice,",
"“Adam, my vac ! tar as jean shassoo roym ; ","“Adam, my son! come and stand begofe me ;",
Cre'n fa t’ou shirrey d' ollagh[1] d’eddin voym ?” ,"Why are you trying, hid your face from me?”","[1] dy ’ollagh] ‘to hide’, original gives [dollee] ‘hid’ which is evidently a typo."
"Adam er creau s’coan abyl cur ansoor, ","Adam shaking, hardly able to answer,",
"Dy heet kionefenish yn ooilley niartal pooar, ","At coming into the presence of the almighty power,",
Foast beign da cheet as shoh myr ren eh graa : ,Still he had to come and this is how he spoke:,
“Roie me er chea tra cheeayl me dy corraa.” ,“I ran away when I heard your voice.”,
“Cre’n oyr” dooyrt Jee: “T’ou shirrey voym scapail ? ,“Why” said God: “You’re trying to escape from me?,
"Nagh bollogh oo lesh boggey cheet my whail, ",Did you not used to come to meet me with joy?,
"Jeeagh d’eddin dow, shass magh as soilshee eh. ","Show me your face, stand out and illuminate it.",
Cre’n oyr t’ou voish d’er chroo nish roie er chea?”,"Why are you, from your creator, now running away?”",
Eisht dansoor Adam as hoilshee eh y chooish : ,Then Ada answered and he explained the matter :,
"“Roie me er chea er son dy row mee rooisht, ","“I ran away because I was naked,",
"She shoh va’n oyr ta nearey ayns my chree, ","This is why there was shame in my heart,",
Dy heet kionefenish yn ooilley niartial Jee.” ,To come into the presence of the almighty God.”,
"“Quoi dinsh dhyt d’ell oo rooisht?"" eisht dooyrt y Chiarn. ",“Who told you that you were naked?” then the Lord said,
“Vel oo er n’ee jeh mess yn villey shen ,“Have oo eaten of the fruit of that tree?,
V’ayns mean yn gharey dinsh mee dhyt ro laue ,That was in the middle of garden the I told you beforehand,
Va tayrn lesh baase ort hene as slane sheel naue?” ,Was drawing death upon you and the whole of humanity?”,
Eisht dansoor Adam as dooyrt eh rish er chroo: ,Then Adam answered and he said to his creator:,
“Te kindagh rish yn ven shen hug oo dow ; ,“It is because of that woman he gave to me ;,
"Ghow ish jeh roym as ren ee miollagh mee, ","She went off before me and she tempted me,",
Dy ee jeh’n mess gyn smooinaght olk erbee.” ,To eat of the fruit without thinking anything bad.”,
"Eisht dooyrt yn Chiarn : “Cre’n olk shoh ta jeant ayd, ","Then the Lord said : “What is this evil that you have done,",
Cre’n fa ren uss dy heshey cur jeh’n raad ? ,Why did you put your partner off the road ?,
"Uss lhisagh veih goaill slane sampleyr dy veh, ","You, who should from him take a full example of being,",
Er chur da mess dy cur er shaghryn eh.” ,Have given him fruit to send him astray.”,
Chelleeragh Eve ren playnt er yn ardnieu : ,"Straightaway, Eve complained about the snake :",
“Dy ren eh miolagh ayns yn raad oc jiu ; ,“That he tempted in their way today :,
"Son dooyrt eh rym eh nee jeh’n mess shoh ghee, ","For he said to me he who will eat of this fruit,",
Chelleeragh bee eh chreeney goll rish Jee.” ,He will immediately be wise like God.”,
"Eisht hug yn Chiarn fo mollaght yn ardnieu, ","Then the Lord cursed the snake,",
As dooyrt Eh : “Rish she er dty volg nee oo snaue; ,And He said : “You will crawl on your stomach;,
"As son nagh bee ayds oyr nish dy voasteill, ","And because you will not have reason to boast,",
Er skyn sluight Eve dy bragh cha jean oo reill. ,Above Eve’s offspring you will never rule.,
"“As uss y ven, nish son dy hass oo da, ","“And you woman, now because you stood for him, ",
T’ou er dayrn ort hene trimshey son dy braa ; ,You have drawn upon yourself sadness for ever;,
"She ayns angaish nee oo cloan cur son y theihll, ","In anguish you will bring forth children into the world,",
Dty heshey hene myrgheddin harryds reill.” ,Your own partner also ruling over you.”,
Eisht ren yn Chiarn rish Adam loayrt dy plain : ,Then to the Lord to Adam spoke plainly :,
"“Er son dy ren oo geaishtagh rish e[2] ven, ","“Because you listened to your wife,","[2] e] ‘his’, text gives the variant [y]."
"T’ou er dayrn mollaght trome or ooilley’n ooir, ","You have drawn a heavy curse upon all the earth,",
Eer dty heeloghe hene myrgheddin dagh cretoor.,Even your own generation as well as every creature.,
“Drinenyn as dressyn nee dy palchey gaase; ,“Thorns and brambles will grow plentifully;,
"Nee oo dt’arran gee lesh ollish trome dty[3] vaaish, ","You will eat your bread the with heavy sweat of your brow,",[3] dty] text gives the variant [dy].
"Shoh vees dty currym kinjagh laa lurg laa, ","This will be your duty always, day after day,",
Er derry nee oo reesht dys ooir chyndaa.” ,Until you will return to earth.,
"Adam as Eve ny neesht hie er chyndaa, ","Adam and Eve both were turned,",
"Ass garey Eden jeight er son dy braa, ","Out of the Garden of Eden shut, for ever,",
"Lesh chreeaghyn brish as sooillyn lane dy yeir, ","With broken hearts and eyes full of tears,",
Beign daue nyn ghooyl cur rish yn eiraght cair. ,They had to put the righteous inheritance behind them.,
"Eisht cherubim voish chooyrtyn sollys niau, ","Then cherubim from the bright courts of heaven,",
"Ren Jee coyrt neose dy insh nyn gurrym daue, ","That God sent down to tell their duties to them,",
"Lesh cliwe ailagh fendeil yn garey voue[4], ","With fiery sword defended the garden from them,",[4] voeu] text gives [ve].
Lhiettall yn raad lheideil gys billey yn vea. ,Blocking the way leading to the tree of life.,
"Foast cha ren Jee Adam as Eve hreigeil, ","Still God did not abandon Adam and Eve,",
Lesh focklyn graihagh ren eh roo pleadeil; ,With loving words he pleaded to them;,
"Chooatyn dy chraitnyn ren eh yannoo daue, ","Coats of skins he made for them,",
Dy reayll veih’n feayraght Ayr as moir sheelnaue. ,To keep the Father and mother of humanity from the cold.,
"Nish gloyr as booise dy bragh gys Chreest nyn Jiarn, ","Now eternal glory and thanks to Christ our Lord,",
Ren gymmyrk lesh yn dooinney as yn ven ; ,Who put up with the man and the woman ;,
"Nagh ren eh ad ayns E ymmoose cur mow,","Who he did not in his fury destroy,",
Agh yiall eh daue eiraght ayns reeriaght niau. ,Rather he promised them an inheritance in the kingdom of heaven,
"Ard ooashley feen[5] dy row da Jee dy braa, ","Majesty may there be to God evermore,","[5] feen] meaning unlcear here, so left untranslated."
"Ta ayns e vyghin coadey shin dagh laa, ","Who in his mercy pretects us each day,",
Ren cur E vac ghraysoil dy hurranse baase ,Who gaves his graceful son to suffer death,
Da peccee hreih dy cosney bea as grayse.,For miserable sinners to gain life and grace.,
,,
,,
,,
