Manx,English,Diplomatic
Ayns foddeeaght dy ve ec shee,In longing to be at peace,Ayns foddeeagh dy ve eck shee
Jeh’n seihll peccoil shoh ta mee skee,Of this sinful world I am tired,Jeh’n seihll peccoil shoh ta mee skee
"O, Dy beign ayns yn thalloo mie","O, If I were in the good earth",O dy beiyn ayns yn thalloo mie
Marish ny nooghyn t’ec y thie,With the saints that are home,Marish ny nooghyn t’eck y thie
As seyr veih peccah as dagh nhee,And free from sin and every thing,As seyr veih peccah as dagh nhee
Ta cur souaigney er my chree,That causes distress to my heart.,Ta chur souaigney er my chree
My annym maynrey mârish Chreest,My soul happy with Christ,My annym manrey maarish Chreest
T’er n’osley giattyn phargys reesht.,Who has opened the gates of paradise again.,Ter n’ostley gaityn pargys reesht
