English,Manx,Notes
"• We will encourage the development, publication and promotion of new resources.","Nee mayd greinnaghey croo, cur-magh as cur er nyn doshiaght jeh couyryn noa.",
"• We will ensure any developed resources are coordinated, appropriate and of good quality, across all ages and stages.","Nee mayd shickyraghey dy bee couyryn erbee vees crooit er nyn go-oardaghey, cooie as jeh foaynoo mie, bentyn da dy chooilley eash as keim.",
• We will work to ensure greater digitisation of Manx Language resources at all levels.,Nee mayd gobbragh dy hickyraghey dy bee tooilley couyryn Gaelgagh currit ayns cummey bun-earrooagh ec dy chooilley cheim.,
Progression,Goll er e hoshiaght,
"Mooinjer Veggey has been instrumental in creating several new resources for primary school, preschool, and parents.","Ta Mooinjer Veggey er ve gastey as breeoil ayns croo shiartanse dy chouyryn noa cour bunscoillyn, roie-scoillyn, as paarantyn.",
These resources include two Viking stories authored by Annie Kissack.,Mastey ny couyryn shoh ta daa skeeal Wiggynagh scruit liorish Annie Kissack.,
"Furthermore, they have published Adrian Cain’s translation of Tom Palmer’s After the War targeted at KS2 readers at Bunscoill Ghaelgagh.","Ny sodjey na shoh, t’ad er chur magh çhyndaays Adrian Cain jeh ‘After the War’ liorish Tom Palmer cour lhaihderyn ec y Vunscoill Ghaelgagh.",
Both texts were printed with the support of Culture Vannin.,Va’n daa heks prentit lesh cooney veih Culture Vannin.,
The four levels of the Loayr Gaelg’ (Speak Manx) adult-learners course from Culture Vannin are now complete.,Ta ny kiare keimyn jeh coorse Culture Vannin son ynseydee aasit ‘Loayr Gaelg’ nish dy slane cooilleenit.,
"Resources are available online on the Learn Manx website, in the form of PDF course books accompanied by nearly 200 supporting revision sound files.","Ta couyryn ry-gheddyn er-linney er yn ynnyd-eggey Learn Manx, ayns cummey lioaryn coorse PDF as ta bunnys 200 coadan sheean kiarit maroo cour aastudeyrys.",
Culture Vannin have also printed copies used by in-person Manx classes.,Ta Culture Vannin er phrental copy-yn neesht ta ymmyd jeant jeu ayns brastyllyn Gaelgagh eddin ry eddin.,
Culture Vannin have been pleased to supply other Manx organisations with copies to help facilitate community adult Manx lessons.,Ta Culture Vannin er ve jeant booiagh dy chiarail copy-yn da sheshaghtyn Gaelgagh elley dy ‘osley yn raad da brastyllyn Gaelgagh cour sleih aasit mastey’n phobble.,
Bunscoill Ghaelgagh has developed an in-house phonics scheme and staff training to support the teaching of systematic synthetic phonics through Manx from Reception to Year 2 with continuity to English phonics schemes in KS2.,Ta’n Vunscoill Ghaelgagh er chroo skeim fonnickyn daue hene as traenal son y skimmee dy niartaghey ynsagh fonnickyn synthetick systematickagh ayns Gaelg veih Blein Toshee gys Blein 2 ta co-chiangley rish skeimyn fonnickyn Baarlagh ayns Ard-Cheim 2.,
"The Advisory Teacher for the Manx Curriculum and Bunscoill Ghaelgagh have jointly published a bilingual playground games pack, which is available to all schools, nurseries, and toddler groups.","Ta’n Ynseyder-Coyrlee son y Churriglym Manninagh as yn Vunscoill Ghaelgagh cooidjagh er chur magh kionnan gammanyn close-scoill daa-hengagh, ta ry-gheddyn da ooilley ny scoillyn, roie-scoillyn as possanyn-cloie.",
"Yn Skimmee Gaelgagh (the Manx Language Service) has created four learners' videos and content for young learners, some of which are now available online.","Ta’n Skimmee Gaelgagh er chroo kiare feeshanyn cour sleih ta gynsagh as tooilley reddyn cour ynseydee aegey, paart jeu ta ry-gheddyn nish er-linney.",
They are also working on developing guided learning activities and interactive games to complement these videos.,T’ad gobbragh er croo roortyssyn ynsagh leeidit as gammanyn eddyr-obbragh dy gholl marish ny feeshanyn shoh.,
